"route","time","hasBusBunching","trips","percTripsWithoutBB","percTripsWithBB"
"001","06",TRUE,1,1,0
"001","07",TRUE,6,1,0
"001","08",TRUE,7,1,0
"001","09",TRUE,7,1,0
"001","10",TRUE,7,1,0
"001","11",TRUE,8,1,0
"001","12",TRUE,7,1,0
"001","13",TRUE,7,1,0
"001","14",TRUE,8,1,0
"001","15",TRUE,6,1,0
"001","16",TRUE,9,1,0
"001","17",TRUE,9,1,0
"001","18",TRUE,10,1,0
"001","19",TRUE,5,1,0
"002","06",TRUE,1,1,0
"002","07",TRUE,5,1,0
"002","08",TRUE,5,1,0
"002","09",TRUE,5,1,0
"002","10",TRUE,5,1,0
"002","11",TRUE,4,1,0
"002","12",TRUE,5,1,0
"002","13",TRUE,4,1,0
"002","14",TRUE,5,1,0
"002","15",TRUE,5,1,0
"002","16",TRUE,4,1,0
"002","17",TRUE,4,1,0
"002","18",TRUE,5,1,0
"002","19",TRUE,4,1,0
"010","05",TRUE,1,1,0
"010","06",TRUE,2,1,0
"010","07",TRUE,2,1,0
"010","08",TRUE,1,1,0
"010","09",TRUE,1,1,0
"010","10",TRUE,1,1,0
"010","11",TRUE,2,1,0
"010","12",TRUE,1,1,0
"010","13",TRUE,2,1,0
"010","14",TRUE,1,1,0
"010","15",TRUE,1,1,0
"010","16",TRUE,1,1,0
"010","17",TRUE,1,1,0
"010","18",TRUE,1,1,0
"010","19",TRUE,1,1,0
"010","20",TRUE,1,1,0
"010","21",TRUE,1,1,0
"010","22",TRUE,1,1,0
"011","06",TRUE,2,1,0
"011","07",TRUE,4,1,0
"011","08",TRUE,2,1,0
"011","09",TRUE,4,1,0
"011","10",TRUE,3,1,0
"011","11",TRUE,4,1,0
"011","12",TRUE,3,1,0
"011","13",TRUE,3,1,0
"011","14",TRUE,4,1,0
"011","15",TRUE,4,1,0
"011","16",TRUE,4,1,0
"011","17",TRUE,3,1,0
"011","18",TRUE,4,1,0
"011","19",TRUE,4,1,0
"011","20",TRUE,4,1,0
"011","21",TRUE,4,1,0
"011","22",TRUE,4,1,0
"011","23",TRUE,2,1,0
"020","05",TRUE,4,1,0
"020","06",TRUE,5,1,0
"020","07",TRUE,7,1,0
"020","08",TRUE,8,1,0
"020","09",TRUE,6,1,0
"020","10",TRUE,6,1,0
"020","11",TRUE,4,1,0
"020","12",TRUE,4,1,0
"020","13",TRUE,5,1,0
"020","14",TRUE,3,1,0
"020","15",TRUE,4,1,0
