"date","route","time","hasBusBunching","trips","percTripsWithoutBB","percTripsWithBB"
"2017-05-01",10,"06",TRUE,3,1,0
"2017-05-01",10,"07",TRUE,3,1,0
"2017-05-01",10,"08",TRUE,2,1,0
"2017-05-01",10,"09",TRUE,2,1,0
"2017-05-01",10,"10",TRUE,3,1,0
"2017-05-01",10,"11",TRUE,3,1,0
"2017-05-01",10,"12",TRUE,3,1,0
"2017-05-01",10,"13",TRUE,2,1,0
"2017-05-01",10,"14",TRUE,3,1,0
"2017-05-01",10,"15",TRUE,2,1,0
"2017-05-01",10,"16",TRUE,2,1,0
"2017-05-01",10,"17",TRUE,3,1,0
"2017-05-01",10,"18",TRUE,3,1,0
"2017-05-01",10,"19",TRUE,3,1,0
"2017-05-01",10,"20",TRUE,3,1,0
"2017-05-01",10,"21",TRUE,2,1,0
"2017-05-01",10,"22",TRUE,2,1,0
"2017-05-01",10,"23",TRUE,1,1,0
"2017-05-01",11,"06",TRUE,2,1,0
"2017-05-01",11,"07",TRUE,3,1,0
"2017-05-01",11,"08",TRUE,3,1,0
"2017-05-01",11,"09",TRUE,4,1,0
"2017-05-01",11,"10",TRUE,3,1,0
"2017-05-01",11,"11",TRUE,3,1,0
"2017-05-01",11,"12",TRUE,3,1,0
"2017-05-01",11,"13",TRUE,3,1,0
"2017-05-01",11,"14",TRUE,3,1,0
"2017-05-01",11,"15",TRUE,3,1,0
"2017-05-01",11,"16",TRUE,3,1,0
"2017-05-01",11,"17",TRUE,3,1,0
"2017-05-01",11,"18",TRUE,3,1,0
"2017-05-01",11,"19",TRUE,3,1,0
"2017-05-01",11,"20",TRUE,3,1,0
"2017-05-01",11,"21",TRUE,3,1,0
"2017-05-01",11,"22",TRUE,3,1,0
"2017-05-01",11,"23",TRUE,2,1,0
"2017-05-01",20,"05",TRUE,6,1,0
"2017-05-01",20,"06",TRUE,6,1,0
"2017-05-01",20,"07",TRUE,10,1,0
"2017-05-01",20,"08",TRUE,6,1,0
"2017-05-01",20,"09",TRUE,12,1,0
"2017-05-01",20,"10",TRUE,8,1,0
"2017-05-01",20,"11",TRUE,13,1,0
"2017-05-01",20,"12",TRUE,8,1,0
"2017-05-01",20,"13",TRUE,13,1,0
"2017-05-01",20,"14",TRUE,8,1,0
"2017-05-01",20,"15",TRUE,11,1,0
"2017-05-01",20,"16",TRUE,12,1,0
"2017-05-01",20,"17",TRUE,8,1,0
"2017-05-01",20,"18",TRUE,11,1,0
"2017-05-01",20,"19",TRUE,8,1,0
"2017-05-01",20,"20",TRUE,10,1,0
"2017-05-01",20,"21",TRUE,5,1,0
"2017-05-01",20,"22",TRUE,3,1,0
"2017-05-01",21,"05",TRUE,6,1,0
"2017-05-01",21,"06",TRUE,6,1,0
"2017-05-01",21,"07",TRUE,12,1,0
"2017-05-01",21,"08",TRUE,6,1,0
"2017-05-01",21,"09",TRUE,11,1,0
