"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode"
2095913524,"Campina Grande","BR",155,"R. Manoel Elias de Castro",2095913524,216,4,"[{""x"":-35.880228,""y"":-7.201319},{""x"":-35.88106,""y"":-7.20112},{""x"":-35.882136,""y"":-7.200873}]",1549969966127,1,"[{""fromNode"":159784423,""ID"":267847424,""toNode"":159784302,""isForward"":true},{""fromNode"":159784302,""ID"":267847425,""toNode"":159784224,""isForward"":true}]",0,1.2083333333333333,4.35,"R. Jessé Barbosa de Menezes","NONE","NONE",1549970255757,2095913524,
2069334572,"Campina Grande","BR",139,"R. João da Mata",2069334572,230,3,"[{""x"":-35.882155,""y"":-7.219371},{""x"":-35.882118,""y"":-7.220234},{""x"":-35.882084,""y"":-7.221454}]",1549969706106,1,"[{""fromNode"":159784281,""ID"":156549564,""toNode"":159784197,""isForward"":false},{""fromNode"":159784197,""ID"":156549580,""toNode"":159784277,""isForward"":false}]",0,1.2916666666666667,4.65,"R. João Tavares","NONE","NONE",1549970352659,2069334572,
2080229248,"Campina Grande","BR",113,"R. Irineu Joffily",2080229248,324,3,"[{""x"":-35.887311,""y"":-7.221709},{""x"":-35.887117,""y"":-7.221641},{""x"":-35.886454,""y"":-7.221378},{""x"":-35.885977,""y"":-7.221184},{""x"":-35.885234,""y"":-7.220904},{""x"":-35.884585,""y"":-7.220651}]",1549969961838,1,"[{""fromNode"":186088380,""ID"":207338919,""toNode"":159783723,""isForward"":true},{""fromNode"":159783723,""ID"":207338909,""toNode"":186088377,""isForward"":true},{""fromNode"":186088377,""ID"":207338910,""toNode"":159783810,""isForward"":true},{""fromNode"":159783810,""ID"":156548959,""toNode"":159783920,""isForward"":true},{""fromNode"":159783920,""ID"":156549067,""toNode"":159783998,""isForward"":true}]",0,2.2055555555555557,7.94,"R. Treze de Maio","NONE","NONE",1549970149085,2080229248,
2069105081,"Campina Grande","BR",68,"Pç. da Bandeira",2069105081,644,2,"[{""x"":-35.879224,""y"":-7.217189},{""x"":-35.880537,""y"":-7.217837},{""x"":-35.881711,""y"":-7.218382},{""x"":-35.882775,""y"":-7.218858},{""x"":-35.883861,""y"":-7.219366},{""x"":-35.884499,""y"":-7.219672}]",1549967654362,2,"[{""fromNode"":159784418,""ID"":156549821,""toNode"":159784361,""isForward"":true},{""fromNode"":159784361,""ID"":236831672,""toNode"":159784130,""isForward"":true},{""fromNode"":159784130,""ID"":156549296,""toNode"":159784074,""isForward"":true},{""fromNode"":159784074,""ID"":156549189,""toNode"":159783992,""isForward"":true}]",0,4.852777777777778,17.470000000000002,"Av. Mal. Floriano Peixoto","NONE","NONE",1549971082209,2069105081,
2079762398,"Campina Grande","BR",118,"Av. Mal. Floriano Peixoto",2079762398,392,3,"[{""x"":-35.885229,""y"":-7.216316},{""x"":-35.884981,""y"":-7.216579},{""x"":-35.884911,""y"":-7.216648},{""x"":-35.884369,""y"":-7.217178},{""x"":-35.884186,""y"":-7.217379},{""x"":-35.88399,""y"":-7.217602},{""x"":-35.883288,""y"":-7.218315},{""x"":-35.882775,""y"":-7.218858}]",1549969693946,1,"[{""fromNode"":232839094,""ID"":281070241,""toNode"":159783983,""isForward"":false},{""fromNode"":159783983,""ID"":236360100,""toNode"":203444008,""isForward"":false},{""fromNode"":203444008,""ID"":236360099,""toNode"":159784029,""isForward"":false},{""fromNode"":159784029,""ID"":156549193,""toNode"":159784032,""isForward"":false},{""fromNode"":159784032,""ID"":156549222,""toNode"":159784071,""isForward"":false},{""fromNode"":159784071,""ID"":156549271,""toNode"":159784104,""isForward"":false},{""fromNode"":159784104,""ID"":156549387,""toNode"":159784130,""isForward"":false}]",0,2.297222222222222,8.27,"R. Maciel Pinheiro","NONE","NONE",1549970051769,2079762398,
2080243138,"Campina Grande","BR",64,"R. Luxemburgo",2080243138,975,2,"[{""x"":-35.904217,""y"":-7.182443},{""x"":-35.90382,""y"":-7.182864},{""x"":-35.903249,""y"":-7.183288},{""x"":-35.902731,""y"":-7.183774},{""x"":-35.902347,""y"":-7.184222},{""x"":-35.901854,""y"":-7.184714},{""x"":-35.901607,""y"":-7.185204},{""x"":-35.901337,""y"":-7.185711},{""x"":-35.901178,""y"":-7.185913},{""x"":-35.900891,""y"":-7.186137},{""x"":-35.900458,""y"":-7.186611},{""x"":-35.900037,""y"":-7.187074},{""x"":-35.899597,""y"":-7.187678},{""x"":-35.899354,""y"":-7.188014},{""x"":-35.899097,""y"":-7.188674},{""x"":-35.89881,""y"":-7.189251}]",1549970053764,7,"[{""fromNode"":159778871,""ID"":281153670,""toNode"":159781950,""isForward"":false},{""fromNode"":159781950,""ID"":156546136,""toNode"":159781982,""isForward"":false},{""fromNode"":159781982,""ID"":156546202,""toNode"":159782008,""isForward"":false},{""fromNode"":159782008,""ID"":156546287,""toNode"":159782244,""isForward"":false},{""fromNode"":159782244,""ID"":156546360,""toNode"":159782268,""isForward"":false},{""fromNode"":159782268,""ID"":156546438,""toNode"":159782295,""isForward"":false},{""fromNode"":159782295,""ID"":156546526,""toNode"":159782327,""isForward"":false},{""fromNode"":159782327,""ID"":244757321,""toNode"":208823519,""isForward"":false},{""fromNode"":208823519,""ID"":244757319,""toNode"":159782361,""isForward"":false},{""fromNode"":159782361,""ID"":340693155,""toNode"":235078618,""isForward"":true},{""fromNode"":235078618,""ID"":340693156,""toNode"":159782451,""isForward"":false},{""fromNode"":159782451,""ID"":156546926,""toNode"":159782486,""isForward"":false}]",0,6.158333333333333,22.17,"R. Paris","NONE","NONE",1549970053776,2080243138,
2089468297,"Campina Grande","BR",128,"R. Ladislau Rodrigues de Souza",2089468297,516,3,"[{""x"":-35.906635,""y"":-7.229991},{""x"":-35.905973,""y"":-7.229704},{""x"":-35.905684,""y"":-7.229565},{""x"":-35.905609,""y"":-7.229529},{""x"":-35.905603,""y"":-7.229526},{""x"":-35.905144,""y"":-7.22932},{""x"":-35.904856,""y"":-7.229194},{""x"":-35.903446,""y"":-7.228562},{""x"":-35.903057,""y"":-7.228397},{""x"":-35.90237,""y"":-7.228102}]",1549968439110,2,"[{""fromNode"":159781504,""ID"":237067983,""toNode"":203899447,""isForward"":true},{""fromNode"":203899447,""ID"":294178945,""toNode"":241945349,""isForward"":true},{""fromNode"":241945349,""ID"":294178946,""toNode"":159781695,""isForward"":true},{""fromNode"":159781695,""ID"":247960260,""toNode"":210844604,""isForward"":false},{""fromNode"":210844604,""ID"":247960259,""toNode"":159781972,""isForward"":false},{""fromNode"":159781972,""ID"":156545977,""toNode"":159782040,""isForward"":false},{""fromNode"":159782040,""ID"":156546080,""toNode"":159782108,""isForward"":false}]",0,2.922222222222222,10.52,"Av. Floriano Peixoto","NONE","NONE",1549970340273,2089468297,
2074798320,"Lagoa Seca","BR",109,"Estr. do Araticum",2074798320,831,3,"[{""x"":-35.852144,""y"":-7.154421},{""x"":-35.852168,""y"":-7.154694},{""x"":-35.852205,""y"":-7.154945},{""x"":-35.852287,""y"":-7.155238},{""x"":-35.852377,""y"":-7.155541},{""x"":-35.852449,""y"":-7.155711},{""x"":-35.852557,""y"":-7.155894},{""x"":-35.852731,""y"":-7.156143},{""x"":-35.852855,""y"":-7.15629},{""x"":-35.853334,""y"":-7.15673},{""x"":-35.853538,""y"":-7.156938},{""x"":-35.854232,""y"":-7.157583},{""x"":-35.855091,""y"":-7.158388},{""x"":-35.855771,""y"":-7.159002},{""x"":-35.856111,""y"":-7.15937},{""x"":-35.856293,""y"":-7.159607},{""x"":-35.85638,""y"":-7.159751},{""x"":-35.856563,""y"":-7.160239}]",1549968881008,6,"[{""fromNode"":201949676,""ID"":234027532,""toNode"":201949619,""isForward"":true},{""fromNode"":201949619,""ID"":234027458,""toNode"":201949492,""isForward"":true},{""fromNode"":201949492,""ID"":234034258,""toNode"":201954023,""isForward"":true},{""fromNode"":201954023,""ID"":234034259,""toNode"":201947321,""isForward"":true},{""fromNode"":201947321,""ID"":234024412,""toNode"":201947546,""isForward"":true},{""fromNode"":201947546,""ID"":234024413,""toNode"":201947229,""isForward"":true},{""fromNode"":201947229,""ID"":234024001,""toNode"":201947176,""isForward"":true},{""fromNode"":201947176,""ID"":234031635,""toNode"":201952382,""isForward"":true},{""fromNode"":201952382,""ID"":234031636,""toNode"":201952057,""isForward"":true},{""fromNode"":201952057,""ID"":234031086,""toNode"":201945404,""isForward"":true}]",1,3.6805555555555554,13.25,"BR-104","NONE","NONE",1549971078289,2074798320,
2069337552,,"BR",173,"Lagoa Seca",2069337552,2055,2,"[{""x"":-35.859485,""y"":-7.169473},{""x"":-35.859638,""y"":-7.169965},{""x"":-35.859745,""y"":-7.170465},{""x"":-35.859799,""y"":-7.170971},{""x"":-35.85982,""y"":-7.17162},{""x"":-35.859805,""y"":-7.174176},{""x"":-35.859815,""y"":-7.17458},{""x"":-35.859837,""y"":-7.17486},{""x"":-35.85988,""y"":-7.175105},{""x"":-35.859936,""y"":-7.175318},{""x"":-35.860035,""y"":-7.175546},{""x"":-35.860148,""y"":-7.175749},{""x"":-35.860298,""y"":-7.175932},{""x"":-35.860491,""y"":-7.176127},{""x"":-35.860706,""y"":-7.176289},{""x"":-35.863187,""y"":-7.177832},{""x"":-35.863423,""y"":-7.178005},{""x"":-35.863605,""y"":-7.178165},{""x"":-35.863745,""y"":-7.178322},{""x"":-35.863908,""y"":-7.178548},{""x"":-35.864394,""y"":-7.179341},{""x"":-35.864606,""y"":-7.179724},{""x"":-35.864683,""y"":-7.179916},{""x"":-35.86482,""y"":-7.180355},{""x"":-35.865003,""y"":-7.181095},{""x"":-35.865414,""y"":-7.182668},{""x"":-35.865457,""y"":-7.18282},{""x"":-35.865498,""y"":-7.182965},{""x"":-35.865707,""y"":-7.183713},{""x"":-35.865759,""y"":-7.183897},{""x"":-35.865795,""y"":-7.184036},{""x"":-35.866212,""y"":-7.185619}]",1549969781840,6,"[{""fromNode"":177115494,""ID"":308499719,""toNode"":251204070,""isForward"":false},{""fromNode"":251204070,""ID"":308499718,""toNode"":228019575,""isForward"":false},{""fromNode"":228019575,""ID"":273361457,""toNode"":228019578,""isForward"":false},{""fromNode"":228019578,""ID"":313459010,""toNode"":254469973,""isForward"":false},{""fromNode"":254469973,""ID"":313459039,""toNode"":254469990,""isForward"":false},{""fromNode"":254469990,""ID"":313459038,""toNode"":228019577,""isForward"":false},{""fromNode"":228019577,""ID"":273361459,""toNode"":228019579,""isForward"":false},{""fromNode"":228019579,""ID"":273361458,""toNode"":177115781,""isForward"":false}]",1,7.191666666666666,25.89,"BR-104","NONE","NONE",1549970050888,2069337552,"Lagoa Seca"
2097125116,"Campina Grande","BR",60,,2097125116,456,2,"[{""x"":-35.865149,""y"":-7.242727},{""x"":-35.866185,""y"":-7.240715},{""x"":-35.866201,""y"":-7.240573},{""x"":-35.866235,""y"":-7.239761},{""x"":-35.86625,""y"":-7.239605},{""x"":-35.866774,""y"":-7.239071}]",1549969789172,1,"[{""fromNode"":159785788,""ID"":278887712,""toNode"":159785727,""isForward"":true},{""fromNode"":159785727,""ID"":156551811,""toNode"":159785666,""isForward"":false}]",0,3.763888888888889,13.55,"R. Prof. José Lopes de Andrade","NONE","NONE",1549970059788,2097125116,
