"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert"
1157340874,"Campina Grande","BR",72,"R. Maj. Belmiro",1157340874,223,3,"[{""x"":-35.889378,""y"":-7.224206},{""x"":-35.888404,""y"":-7.224537},{""x"":-35.888404,""y"":-7.224536},{""x"":-35.888132,""y"":-7.224825},{""x"":-35.887904,""y"":-7.224998},{""x"":-35.887623,""y"":-7.225104}]",1550977138150,1,"[{""fromNode"":176803001,""ID"":156548492,""toNode"":159783610,""isForward"":true},{""fromNode"":159783610,""ID"":156548625,""toNode"":159783696,""isForward"":true}]",0,1.6833333333333333,6.0600000000000005,"R. Olegário Azevedo","NONE","NONE",1550977628896,1157340874,,,,,,,,
1174162606,"Campina Grande","BR",63,"R. Rio de Janeiro",1174162606,265,4,"[{""x"":-35.891544,""y"":-7.234832},{""x"":-35.891638,""y"":-7.234013},{""x"":-35.891726,""y"":-7.233367},{""x"":-35.891839,""y"":-7.232449}]",1550977140820,1,"[{""fromNode"":159783385,""ID"":156548201,""toNode"":159783369,""isForward"":false},{""fromNode"":159783369,""ID"":156548180,""toNode"":159783364,""isForward"":false},{""fromNode"":159783364,""ID"":156548167,""toNode"":159783352,""isForward"":false}]",0,1.4777777777777779,5.32,"R. Santa Catarina","NONE","NONE",1550977915860,1174162606,,,,,,,,
1174178586,"Campina Grande","BR",119,"R. Dinamérica Alves Correia",1174178586,275,3,"[{""x"":-35.909596,""y"":-7.240822},{""x"":-35.909625,""y"":-7.241261},{""x"":-35.90975,""y"":-7.242443},{""x"":-35.910094,""y"":-7.242781},{""x"":-35.910394,""y"":-7.243012}]",1550977242015,1,"[{""fromNode"":159781104,""ID"":236921263,""toNode"":159781084,""isForward"":true},{""fromNode"":159781084,""ID"":156544548,""toNode"":159780975,""isForward"":false}]",0,1.9,6.84,,"NONE","NONE",1550977630851,1174178586,,,,,,,,
1205954697,"Campina Grande","BR",70,"R. Luiz Travassos Moura",1205954697,406,2,"[{""x"":-35.898477,""y"":-7.24261},{""x"":-35.898408,""y"":-7.243119},{""x"":-35.89832,""y"":-7.243813},{""x"":-35.898035,""y"":-7.245541},{""x"":-35.897903,""y"":-7.246233}]",1550977338799,1,"[{""fromNode"":176998270,""ID"":190342118,""toNode"":159782685,""isForward"":true},{""fromNode"":159782685,""ID"":156547085,""toNode"":159782710,""isForward"":true},{""fromNode"":159782710,""ID"":156547094,""toNode"":159782736,""isForward"":true},{""fromNode"":159782736,""ID"":156547131,""toNode"":159782740,""isForward"":true}]",0,2.863888888888889,10.31,"R. Manoel de Freitas Ramos","NONE","NONE",1550977630435,1205954697,,,,,,,,
1154764322,"Campina Grande","BR",103,,1154764322,207,3,"[{""x"":-35.914598,""y"":-7.244291},{""x"":-35.915162,""y"":-7.243095},{""x"":-35.915381,""y"":-7.242592}]",1550977726971,1,"[{""fromNode"":159780575,""ID"":156543835,""toNode"":159780555,""isForward"":false},{""fromNode"":159780555,""ID"":156543806,""toNode"":159780558,""isForward"":false}]",0,1.6,5.760000000000001,"R. Alice de Oliveira Gonzaga","NONE","NONE",1550978206088,1154764322,,,,,,,,
1171086799,"Campina Grande","BR",60,,1171086799,2253,1,"[{""x"":-35.875407,""y"":-7.255517},{""x"":-35.875107,""y"":-7.255095},{""x"":-35.873422,""y"":-7.252876},{""x"":-35.872453,""y"":-7.251516},{""x"":-35.872236,""y"":-7.251133},{""x"":-35.872045,""y"":-7.250735},{""x"":-35.871806,""y"":-7.250163},{""x"":-35.871618,""y"":-7.249348},{""x"":-35.87156,""y"":-7.249022},{""x"":-35.871529,""y"":-7.248557},{""x"":-35.871385,""y"":-7.245511},{""x"":-35.871324,""y"":-7.244751},{""x"":-35.871257,""y"":-7.24425},{""x"":-35.871134,""y"":-7.243718},{""x"":-35.870997,""y"":-7.243241},{""x"":-35.870746,""y"":-7.242655},{""x"":-35.870413,""y"":-7.242062},{""x"":-35.869003,""y"":-7.239414},{""x"":-35.868707,""y"":-7.238859},{""x"":-35.868305,""y"":-7.2381},{""x"":-35.867872,""y"":-7.237349},{""x"":-35.867677,""y"":-7.237214}]",1550978105633,6,"[{""fromNode"":241701907,""ID"":350327684,""toNode"":245713102,""isForward"":false},{""fromNode"":245713102,""ID"":299965656,""toNode"":245712967,""isForward"":false},{""fromNode"":245712967,""ID"":299965482,""toNode"":252323986,""isForward"":false}]",0,10.61111111111111,38.2,"Av. Sen. Argemiro de Figueiredo","NONE","NONE",1550978778624,1171086799,,,,,,,,
1174988696,"Campina Grande","BR",72,"R. Francisco Afonso",1174988696,338,2,"[{""x"":-35.921306,""y"":-7.210034},{""x"":-35.921597,""y"":-7.209932},{""x"":-35.922257,""y"":-7.209859},{""x"":-35.922735,""y"":-7.209735},{""x"":-35.923203,""y"":-7.209587},{""x"":-35.923574,""y"":-7.209473},{""x"":-35.924,""y"":-7.209348},{""x"":-35.924262,""y"":-7.209279}]",1550978108407,2,"[{""fromNode"":223803324,""ID"":268247232,""toNode"":159779643,""isForward"":true},{""fromNode"":159779643,""ID"":156542411,""toNode"":282560724,""isForward"":true}]",0,2.4277777777777776,8.74,"Av. Juvêncio Arruda","NONE","NONE",1550978781228,1174988696,,,,,,,,
1177155298,"Campina Grande","BR",99,"Pç. Clementino Procópio",1177155298,299,3,"[{""x"":-35.883557,""y"":-7.222627},{""x"":-35.883443,""y"":-7.222511},{""x"":-35.88282,""y"":-7.221743},{""x"":-35.88277,""y"":-7.221362},{""x"":-35.882778,""y"":-7.221296},{""x"":-35.882803,""y"":-7.221238},{""x"":-35.883317,""y"":-7.220332}]",1550979156740,2,"[{""fromNode"":177422902,""ID"":156549325,""toNode"":159784158,""isForward"":true},{""fromNode"":159784158,""ID"":156549368,""toNode"":159784189,""isForward"":true},{""fromNode"":159784189,""ID"":156549448,""toNode"":159784196,""isForward"":true},{""fromNode"":159784196,""ID"":156549378,""toNode"":159784144,""isForward"":true}]",0,2.2305555555555556,8.030000000000001,"R. Vidal de Negreiros","NONE","NONE",1550979156744,1177155298,,,,,,,,
1178022478,"Campina Grande","BR",72,"R. Francisco Afonso",1178022478,338,2,"[{""x"":-35.921306,""y"":-7.210034},{""x"":-35.921597,""y"":-7.209932},{""x"":-35.922257,""y"":-7.209859},{""x"":-35.922735,""y"":-7.209735},{""x"":-35.923203,""y"":-7.209587},{""x"":-35.923574,""y"":-7.209473},{""x"":-35.924,""y"":-7.209348},{""x"":-35.924262,""y"":-7.209279}]",1550979167264,2,"[{""fromNode"":223803324,""ID"":268247232,""toNode"":159779643,""isForward"":true},{""fromNode"":159779643,""ID"":156542411,""toNode"":282560724,""isForward"":true}]",0,2.4277777777777776,8.74,"Av. Juvêncio Arruda","NONE","NONE",1550979167264,1178022478,,,,,,,,
1158965432,"Campina Grande","BR",124,"R. Papa João XXIII",1158965432,218,4,"[{""x"":-35.890322,""y"":-7.239295},{""x"":-35.890198,""y"":-7.240295},{""x"":-35.890087,""y"":-7.241259}]",1550979317433,1,"[{""fromNode"":159783503,""ID"":156548385,""toNode"":159783548,""isForward"":true},{""fromNode"":159783548,""ID"":156548389,""toNode"":159783515,""isForward"":true}]",0,1.511111111111111,5.44,"R. Sergipe","NONE","NONE",1550979733902,1158965432,,,,,,,,
