"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","reportBy","reportDescription","reportByActiveGroupIcon","reportByActiveGroupName","provider","providerId","nearBy","imageId","imageUrl"
"alert-650374439/a084c923-380c-3695-a588-074b1a908f3a","Fazenda Rio Grande","[{""reportBy"":"""",""reportMillis"":1550140861729,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550224132622,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550230954868,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550316449315,""isThumbsUp"":true}]",2,"BR","alert-650374439/a084c923-380c-3695-a588-074b1a908f3a",false,false,"{""x"":-49.31823,""y"":-25.639753}",5,0,0,4,1550096124579,9,10,0,1,false,0,"R. Rio Xingu","HAZARD_ON_ROAD_POT_HOLE","HAZARD","a084c923-380c-3695-a588-074b1a908f3a","world,-49.31823,-25.639753,a084c923-380c-3695-a588-074b1a908f3a,650374439",,,,,,,,,
"alert-656197175/1d25640e-deed-3de1-b7d8-9244c9b4874a","Fazenda Rio Grande","[{""reportBy"":"""",""reportMillis"":1550141108722,""isThumbsUp"":true},{""reportBy"":""kennedybt"",""reportMillis"":1550192657485,""isThumbsUp"":true},{""reportBy"":""caiofabiofabio"",""reportMillis"":1550252575409,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550258962840,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550309079295,""isThumbsUp"":true}]",2,"BR","alert-656197175/1d25640e-deed-3de1-b7d8-9244c9b4874a",false,false,"{""x"":-49.301002,""y"":-25.650957}",297,0,0,5,1550101671309,10,10,0,1,false,0,"Av. Cedro","HAZARD_ON_ROAD_POT_HOLE","HAZARD","1d25640e-deed-3de1-b7d8-9244c9b4874a","world,-49.301002,-25.650957,1d25640e-deed-3de1-b7d8-9244c9b4874a,656197175",,,,,,,,,
"alert-654646631/30d3527d-de4f-3c7f-8353-2e2fd12d7707","Fazenda Rio Grande","[{""reportBy"":""raledo"",""reportMillis"":1550418974334,""isThumbsUp"":true}]",0,"BR","alert-654646631/30d3527d-de4f-3c7f-8353-2e2fd12d7707",false,false,"{""x"":-49.293483,""y"":-25.660185}",193,0,0,1,1550354331656,6,34,0,1,false,0,"R. Dinamarca","HAZARD_ON_ROAD_POT_HOLE","HAZARD","30d3527d-de4f-3c7f-8353-2e2fd12d7707","world,-49.293483,-25.660185,30d3527d-de4f-3c7f-8353-2e2fd12d7707,654646631",,,,,,,,,
"alert-659534668/e62fd31b-20e4-3452-9f48-2b59752ef990","Fazenda Rio Grande","[{""reportBy"":""ERMELINUS"",""reportMillis"":1550277625553,""isThumbsUp"":true},{""reportMillis"":1550315182986,""isThumbsUp"":true},{""reportMillis"":1550351160071,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550436087125,""isThumbsUp"":true},{""reportMillis"":1550441239954,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550443388868,""isThumbsUp"":true}]",2,"BR","alert-659534668/e62fd31b-20e4-3452-9f48-2b59752ef990",false,false,"{""x"":-49.312177,""y"":-25.659341}",13,0,0,6,1550270334654,10,8,3,2,false,0,"Av. das Américas","HAZARD_ON_ROAD_POT_HOLE","HAZARD","e62fd31b-20e4-3452-9f48-2b59752ef990","world,-49.312177,-25.659341,e62fd31b-20e4-3452-9f48-2b59752ef990,659534668","kennedybt",,,,,,,,
"alert-668278884/dd1bb630-21b7-3a20-b543-f779d68b09bd","Araucária","[{""reportBy"":"""",""reportMillis"":1550345613618,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550376327751,""isThumbsUp"":true},{""reportBy"":""FilipeRolim1007"",""reportMillis"":1550414076936,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550415524740,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550423762497,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550428037583,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550429039117,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550431621658,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550441824263,""isThumbsUp"":true}]",4,"BR","alert-668278884/dd1bb630-21b7-3a20-b543-f779d68b09bd",false,false,"{""x"":-49.382333,""y"":-25.584195}",183,1,0,8,1550341895241,10,59,1,2,false,0,"R. Marcelino Jasinski","HAZARD_ON_ROAD_POT_HOLE","HAZARD","dd1bb630-21b7-3a20-b543-f779d68b09bd","world,-49.382333,-25.584195,dd1bb630-21b7-3a20-b543-f779d68b09bd,668278884",,,,,,,,,
"alert-665141665/32b0ecb8-e1e1-379e-a847-059298a8ee76","Curitiba","[{""reportBy"":""FelipeKrzizanowski"",""reportMillis"":1550348145546,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550352767669,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550352768479,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550354535545,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550357307464,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550357511330,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550372534519,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550374630306,""isThumbsUp"":true}]",3,"BR","alert-665141665/32b0ecb8-e1e1-379e-a847-059298a8ee76",false,false,"{""x"":-49.318125,""y"":-25.585514}",248,0,0,8,1550342449308,10,8,3,2,false,0,"R. Júlio Pereira Sobrinho","HAZARD_ON_ROAD_POT_HOLE","HAZARD","32b0ecb8-e1e1-379e-a847-059298a8ee76","world,-49.318125,-25.585514,32b0ecb8-e1e1-379e-a847-059298a8ee76,665141665","kennedybt",,,,,,,,
"alert-523084879/aa958eb1-4dba-349c-a647-3c2d3572b3f4","Curitiba","[{""reportBy"":"""",""reportMillis"":1547499985476,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1547735549106,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1547916789215,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549012268630,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549913973729,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550095461948,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550134440065,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550270547697,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550354585750,""isThumbsUp"":true}]",4,"BR","alert-523084879/aa958eb1-4dba-349c-a647-3c2d3572b3f4",false,false,"{""x"":-49.311028,""y"":-25.565491}",0,0,0,9,1547347952400,10,0,0,,false,0,"R. Francisco Xavier de Oliveira","ROAD_CLOSED_EVENT","ROAD_CLOSED","aa958eb1-4dba-349c-a647-3c2d3572b3f4","world,-49.311028,-25.565491,aa958eb1-4dba-349c-a647-3c2d3572b3f4,523084879","valginhak","Boqueado acesso ao viaduto",,,,,,,
"alert-658572134/f927b4e4-b090-3f33-977c-a888b9addf67","Curitiba","[{""reportBy"":"""",""reportMillis"":1550229587145,""isThumbsUp"":true},{""reportMillis"":1550284828616,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550319510279,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550323588409,""isThumbsUp"":true}]",2,"BR","alert-658572134/f927b4e4-b090-3f33-977c-a888b9addf67",false,false,"{""x"":-49.327297,""y"":-25.550489}",67,0,0,4,1550176032032,9,8,3,2,false,0,"R. João Lunardeli","HAZARD_ON_ROAD_POT_HOLE","HAZARD","f927b4e4-b090-3f33-977c-a888b9addf67","world,-49.327297,-25.550489,f927b4e4-b090-3f33-977c-a888b9addf67,658572134","hddfail",,,,,,,,
"alert-666178515/8115818f-d8c1-3bc3-a66f-a1f1c2346921","Araucária","[]",0,"BR","alert-666178515/8115818f-d8c1-3bc3-a66f-a1f1c2346921",false,false,"{""x"":-49.367508,""y"":-25.557737}",248,0,0,0,1550344191919,5,51,3,,false,0,,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","8115818f-d8c1-3bc3-a66f-a1f1c2346921","world,-49.367508,-25.557737,8115818f-d8c1-3bc3-a66f-a1f1c2346921,666178515",,,,,,,,,
"alert-654337379/9b8fda97-ede3-3836-9f89-2e7759de6282","Curitiba","[{""reportBy"":""DarciLima100"",""reportMillis"":1550261114855,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550315726521,""isThumbsUp"":true}]",0,"BR","alert-654337379/9b8fda97-ede3-3836-9f89-2e7759de6282",false,false,"{""x"":-49.311553,""y"":-25.55153}",330,0,0,2,1550222472208,8,1,2,2,false,0,"R. Hasdrúbal Bellegard","HAZARD_ON_ROAD_POT_HOLE","HAZARD","9b8fda97-ede3-3836-9f89-2e7759de6282","world,-49.311553,-25.55153,9b8fda97-ede3-3836-9f89-2e7759de6282,654337379",,,,,,,,,
