"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
"alert-310697502/c281eb65-5b91-3894-843b-fe89f7501514",,"BR","Fazenda Rio Grande",,,,,,"HAZARD","c281eb65-5b91-3894-843b-fe89f7501514",,0,,2,,,"R. Pernambuco","alert-310697502/c281eb65-5b91-3894-843b-fe89f7501514",1543329849830
"alert-67362661/6c97907b-528b-3e85-b48c-37113b1338ef",,"BR","Fazenda Rio Grande",,,,,,"ROAD_CLOSED","6c97907b-528b-3e85-b48c-37113b1338ef",,0,,,,,,"alert-67362661/6c97907b-528b-3e85-b48c-37113b1338ef",1538998213559
"alert-313463208/fbfd900e-9515-3739-8b8b-a15c8a13166f",,"BR","Fazenda Rio Grande",,,,,,"ROAD_CLOSED","fbfd900e-9515-3739-8b8b-a15c8a13166f",,0,,,,,,"alert-313463208/fbfd900e-9515-3739-8b8b-a15c8a13166f",1543242208005
"alert-2127802987/17607a13-8b9c-3207-9acf-474c92c7cff5",,"BR","Fazenda Rio Grande",,,,,,"ROAD_CLOSED","17607a13-8b9c-3207-9acf-474c92c7cff5",,0,,,,,,"alert-2127802987/17607a13-8b9c-3207-9acf-474c92c7cff5",1537384239760
"alert-316680636/99a9fb5f-4a2e-38ff-b38f-b04bb538ff4d",,"BR","Fazenda Rio Grande",,,,,,"ROAD_CLOSED","99a9fb5f-4a2e-38ff-b38f-b04bb538ff4d",,0,,,,,,"alert-316680636/99a9fb5f-4a2e-38ff-b38f-b04bb538ff4d",1543242153394
"alert-306796648/079c5f95-86fa-34f0-8581-819b992660f7",,"BR","Fazenda Rio Grande",,,,,,"HAZARD","079c5f95-86fa-34f0-8581-819b992660f7",,0,,,,,"R. César Carelli","alert-306796648/079c5f95-86fa-34f0-8581-819b992660f7",1543143141291
"alert-337573405/e7f05691-6521-38dc-851b-5cf8bbcdb74c",,"BR","Araucária",,,,,,"JAM","e7f05691-6521-38dc-851b-5cf8bbcdb74c",,0,,,,,"R. Gazania","alert-337573405/e7f05691-6521-38dc-851b-5cf8bbcdb74c",1543583245700
"alert-328533411/0ea79702-b4b4-33bd-9992-299ae5b88011",,"BR","Araucária",,,,,,"POLICE","0ea79702-b4b4-33bd-9992-299ae5b88011",,0,,1,,,"R. Gazania","alert-328533411/0ea79702-b4b4-33bd-9992-299ae5b88011",1543583251758
"alert-339913414/9375f861-fdc7-37be-8b46-e949f21924a6",,"BR","Araucária",,,,,,"ACCIDENT","9375f861-fdc7-37be-8b46-e949f21924a6",,0,,1,,,"R. Gazania","alert-339913414/9375f861-fdc7-37be-8b46-e949f21924a6",1543583260628
"alert-1874128083/e497cf9e-5061-3259-a7ea-aa2cb6a70c60",,"BR","Curitiba",,,,,,"ROAD_CLOSED","e497cf9e-5061-3259-a7ea-aa2cb6a70c60",,0,,,,,"R. Francisco Xavier de Oliveira","alert-1874128083/e497cf9e-5061-3259-a7ea-aa2cb6a70c60",1532607126156
"alert-330800678/b10ed29b-7f29-3312-b169-613616142863",,"BR","Araucária",,,,,,"HAZARD","b10ed29b-7f29-3312-b169-613616142863",,0,,2,,,"R. Luiz Franceschi","alert-330800678/b10ed29b-7f29-3312-b169-613616142863",1543580292693
"alert-331765385/6b9c1ba5-825d-38e2-83ee-fa514ff38805",,"BR",,,,,,,"HAZARD","6b9c1ba5-825d-38e2-83ee-fa514ff38805",,0,,17,,,,"alert-331765385/6b9c1ba5-825d-38e2-83ee-fa514ff38805",1543517361834
