"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
"alert-306635369/49714230-6266-3995-93db-7642a9c69c4c",,"BR","Jaboatão dos Guararapes",,,,,,"CHIT_CHAT","49714230-6266-3995-93db-7642a9c69c4c",,0,,1,,,,"alert-306635369/49714230-6266-3995-93db-7642a9c69c4c",1543193726000
"alert-324868257/70b15feb-a52f-3c24-a61a-1b70e86e9f45",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","70b15feb-a52f-3c24-a61a-1b70e86e9f45",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-324868257/70b15feb-a52f-3c24-a61a-1b70e86e9f45",1543444556239
"alert-330588274/69daac0d-6967-3d08-9164-c8b723f6096a",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","69daac0d-6967-3d08-9164-c8b723f6096a",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-330588274/69daac0d-6967-3d08-9164-c8b723f6096a",1543444591543
"alert-322148289/d09a4525-8c2f-3d75-8888-b28ce98bb57c",,"BR","Recife",,,,,,"ROAD_CLOSED","d09a4525-8c2f-3d75-8888-b28ce98bb57c",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-322148289/d09a4525-8c2f-3d75-8888-b28ce98bb57c",1543444717330
"alert-323788288/47ea5e86-52df-3076-ad3c-c7a9ff1b71a0",,"BR","Recife",,,,,,"ROAD_CLOSED","47ea5e86-52df-3076-ad3c-c7a9ff1b71a0",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-323788288/47ea5e86-52df-3076-ad3c-c7a9ff1b71a0",1543444664197
"alert-320468250/4edfe7ea-5378-3094-9dbd-13e87a41500c",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","4edfe7ea-5378-3094-9dbd-13e87a41500c",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-320468250/4edfe7ea-5378-3094-9dbd-13e87a41500c",1543444485183
"alert-319268281/042ea067-f1d2-3f0c-9151-40ac1b9fc890",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","042ea067-f1d2-3f0c-9151-40ac1b9fc890",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-319268281/042ea067-f1d2-3f0c-9151-40ac1b9fc890",1543444624760
"alert-322148299/cee27c28-2942-301c-9af7-6033e569d5ff",,"BR","Recife",,,,,,"ROAD_CLOSED","cee27c28-2942-301c-9af7-6033e569d5ff",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-322148299/cee27c28-2942-301c-9af7-6033e569d5ff",1543444857986
"alert-330588294/a5f8d3f5-25eb-370d-896d-ec371c560d75",,"BR","Recife",,,,,,"ROAD_CLOSED","a5f8d3f5-25eb-370d-896d-ec371c560d75",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-330588294/a5f8d3f5-25eb-370d-896d-ec371c560d75",1543444796220
"alert-324868297/1eb3bf67-9d23-3b40-8cd5-9a482fd2f3cc",,"BR","Recife",,,,,,"ROAD_CLOSED","1eb3bf67-9d23-3b40-8cd5-9a482fd2f3cc",,0,,,,,"BR-101 Rod. Gov. Mário Covas","alert-324868297/1eb3bf67-9d23-3b40-8cd5-9a482fd2f3cc",1543444829739
"alert-105603376/352ba84d-b71e-3195-85d3-84cf31952b3f",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","352ba84d-b71e-3195-85d3-84cf31952b3f",,0,,,,,"R. Barão de Amaraji","alert-105603376/352ba84d-b71e-3195-85d3-84cf31952b3f",1539570956280
"alert-103743377/6c4bb1ba-69cd-33c9-a42a-d8e53caee141",,"BR","Jaboatão dos Guararapes",,,,,,"ROAD_CLOSED","6c4bb1ba-69cd-33c9-a42a-d8e53caee141",,0,,,,,"R. Barão de Amaraji","alert-103743377/6c4bb1ba-69cd-33c9-a42a-d8e53caee141",1539570956421
"alert-330239506/57d4dd2b-aca2-345c-9670-02c0280d395e",,"BR","Jaboatão dos Guararapes",,,,,,"POLICE","57d4dd2b-aca2-345c-9670-02c0280d395e",,0,,,,,"R. Arão Lins de Andrade","alert-330239506/57d4dd2b-aca2-345c-9670-02c0280d395e",1543514303553
"alert-332139494/938a6dd2-3438-3e78-9273-bb9122158ca5",,"BR","Jaboatão dos Guararapes",,,,,,"HAZARD","938a6dd2-3438-3e78-9273-bb9122158ca5",,0,,,,,"Av. Dr. Luís Rigueira","alert-332139494/938a6dd2-3438-3e78-9273-bb9122158ca5",1543490934721
