"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode","blockDescription","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert"
2072308051,"Taquaritinga do Norte","BR",76,"PE-130",2072308051,1283,2,"[{""x"":-36.05924,""y"":-7.896817},{""x"":-36.058814,""y"":-7.896659},{""x"":-36.058524,""y"":-7.896584},{""x"":-36.058042,""y"":-7.896529},{""x"":-36.057496,""y"":-7.896515},{""x"":-36.056424,""y"":-7.896499},{""x"":-36.055528,""y"":-7.896542},{""x"":-36.054659,""y"":-7.896736},{""x"":-36.054132,""y"":-7.89689},{""x"":-36.05379,""y"":-7.896991},{""x"":-36.053165,""y"":-7.897259},{""x"":-36.052728,""y"":-7.897487},{""x"":-36.052567,""y"":-7.897593},{""x"":-36.052453,""y"":-7.897669},{""x"":-36.051934,""y"":-7.898029},{""x"":-36.051561,""y"":-7.898346},{""x"":-36.050777,""y"":-7.899065},{""x"":-36.050518,""y"":-7.899289},{""x"":-36.050378,""y"":-7.899365},{""x"":-36.050138,""y"":-7.899486},{""x"":-36.049783,""y"":-7.899597},{""x"":-36.049286,""y"":-7.899637},{""x"":-36.049088,""y"":-7.899659},{""x"":-36.048709,""y"":-7.899677},{""x"":-36.048534,""y"":-7.899689}]",1549969960419,7,"[{""fromNode"":227329527,""ID"":272235685,""toNode"":227329531,""isForward"":false},{""fromNode"":227329531,""ID"":272235696,""toNode"":227329537,""isForward"":false},{""fromNode"":227329537,""ID"":272235926,""toNode"":227329712,""isForward"":false},{""fromNode"":227329712,""ID"":272235929,""toNode"":227329714,""isForward"":false},{""fromNode"":227329714,""ID"":295109797,""toNode"":242546925,""isForward"":false},{""fromNode"":242546925,""ID"":295109802,""toNode"":242546929,""isForward"":false},{""fromNode"":242546929,""ID"":295109801,""toNode"":227329716,""isForward"":false},{""fromNode"":227329716,""ID"":272235939,""toNode"":227329720,""isForward"":false},{""fromNode"":227329720,""ID"":272236186,""toNode"":227329889,""isForward"":false},{""fromNode"":227329889,""ID"":272236185,""toNode"":227329882,""isForward"":false},{""fromNode"":227329882,""ID"":272236197,""toNode"":227329892,""isForward"":false},{""fromNode"":227329892,""ID"":272236196,""toNode"":178755172,""isForward"":false},{""fromNode"":178755172,""ID"":194461166,""toNode"":178755173,""isForward"":false},{""fromNode"":178755173,""ID"":272235956,""toNode"":227329729,""isForward"":false}]",1,9.525,34.29,"PE-130","NONE","NONE",1549970249540,2072308051,,,,,,,,,
2095913524,"Campina Grande","BR",155,"R. Manoel Elias de Castro",2095913524,216,4,"[{""x"":-35.880228,""y"":-7.201319},{""x"":-35.88106,""y"":-7.20112},{""x"":-35.882136,""y"":-7.200873}]",1549969966127,1,"[{""fromNode"":159784423,""ID"":267847424,""toNode"":159784302,""isForward"":true},{""fromNode"":159784302,""ID"":267847425,""toNode"":159784224,""isForward"":true}]",0,1.2083333333333333,4.35,"R. Jessé Barbosa de Menezes","NONE","NONE",1549970255757,2095913524,,,,,,,,,
2125153685,,"BR",689,"Cruanji (Timbaúba)",2125153685,2261,2,"[{""x"":-35.44358,""y"":-7.560799},{""x"":-35.442991,""y"":-7.561218},{""x"":-35.442513,""y"":-7.561526},{""x"":-35.44231,""y"":-7.561683},{""x"":-35.44198,""y"":-7.562157},{""x"":-35.441618,""y"":-7.563142},{""x"":-35.441439,""y"":-7.563424},{""x"":-35.441221,""y"":-7.563706},{""x"":-35.440959,""y"":-7.563926},{""x"":-35.440804,""y"":-7.564017},{""x"":-35.44042,""y"":-7.564152},{""x"":-35.440133,""y"":-7.564232},{""x"":-35.439967,""y"":-7.564264},{""x"":-35.439806,""y"":-7.564272},{""x"":-35.439591,""y"":-7.564253},{""x"":-35.439428,""y"":-7.564221},{""x"":-35.439216,""y"":-7.564152},{""x"":-35.437509,""y"":-7.563441},{""x"":-35.436769,""y"":-7.563152},{""x"":-35.436407,""y"":-7.563028},{""x"":-35.436158,""y"":-7.562958},{""x"":-35.435855,""y"":-7.562903},{""x"":-35.435292,""y"":-7.56286},{""x"":-35.43505,""y"":-7.562865},{""x"":-35.434809,""y"":-7.562887},{""x"":-35.434377,""y"":-7.562974},{""x"":-35.43355,""y"":-7.563121},{""x"":-35.432767,""y"":-7.563323},{""x"":-35.43222,""y"":-7.56345},{""x"":-35.431716,""y"":-7.563546},{""x"":-35.430385,""y"":-7.563785},{""x"":-35.430122,""y"":-7.563807},{""x"":-35.429876,""y"":-7.563812},{""x"":-35.429645,""y"":-7.563807},{""x"":-35.429425,""y"":-7.563775},{""x"":-35.429194,""y"":-7.563716},{""x"":-35.428374,""y"":-7.563429},{""x"":-35.427435,""y"":-7.563067},{""x"":-35.426885,""y"":-7.56288},{""x"":-35.425324,""y"":-7.562365}]",1549969610417,7,"[{""fromNode"":219926746,""ID"":262153063,""toNode"":159688978,""isForward"":true},{""fromNode"":159688978,""ID"":350928628,""toNode"":277931301,""isForward"":true}]",3,13.152777777777779,47.35,"PE-089","NONE","NONE",1549970150092,2125153685,"Macaparana",,,,,,,,
2069334572,"Campina Grande","BR",139,"R. João da Mata",2069334572,230,3,"[{""x"":-35.882155,""y"":-7.219371},{""x"":-35.882118,""y"":-7.220234},{""x"":-35.882084,""y"":-7.221454}]",1549969706106,1,"[{""fromNode"":159784281,""ID"":156549564,""toNode"":159784197,""isForward"":false},{""fromNode"":159784197,""ID"":156549580,""toNode"":159784277,""isForward"":false}]",0,1.2944444444444445,4.66,"R. João Tavares","NONE","NONE",1549970261805,2069334572,,,,,,,,,
2080229248,"Campina Grande","BR",113,"R. Irineu Joffily",2080229248,324,3,"[{""x"":-35.887311,""y"":-7.221709},{""x"":-35.887117,""y"":-7.221641},{""x"":-35.886454,""y"":-7.221378},{""x"":-35.885977,""y"":-7.221184},{""x"":-35.885234,""y"":-7.220904},{""x"":-35.884585,""y"":-7.220651}]",1549969961838,1,"[{""fromNode"":186088380,""ID"":207338919,""toNode"":159783723,""isForward"":true},{""fromNode"":159783723,""ID"":207338909,""toNode"":186088377,""isForward"":true},{""fromNode"":186088377,""ID"":207338910,""toNode"":159783810,""isForward"":true},{""fromNode"":159783810,""ID"":156548959,""toNode"":159783920,""isForward"":true},{""fromNode"":159783920,""ID"":156549067,""toNode"":159783998,""isForward"":true}]",0,2.2055555555555557,7.94,"R. Treze de Maio","NONE","NONE",1549970149085,2080229248,,,,,,,,,
2069105081,"Campina Grande","BR",68,"Pç. da Bandeira",2069105081,644,2,"[{""x"":-35.879224,""y"":-7.217189},{""x"":-35.880537,""y"":-7.217837},{""x"":-35.881711,""y"":-7.218382},{""x"":-35.882775,""y"":-7.218858},{""x"":-35.883861,""y"":-7.219366},{""x"":-35.884499,""y"":-7.219672}]",1549967654362,2,"[{""fromNode"":159784418,""ID"":156549821,""toNode"":159784361,""isForward"":true},{""fromNode"":159784361,""ID"":236831672,""toNode"":159784130,""isForward"":true},{""fromNode"":159784130,""ID"":156549296,""toNode"":159784074,""isForward"":true},{""fromNode"":159784074,""ID"":156549189,""toNode"":159783992,""isForward"":true}]",0,4.852777777777778,17.470000000000002,"Av. Mal. Floriano Peixoto","NONE","NONE",1549971082209,2069105081,,,,,,,,,
2079762398,"Campina Grande","BR",118,"Av. Mal. Floriano Peixoto",2079762398,392,3,"[{""x"":-35.885229,""y"":-7.216316},{""x"":-35.884981,""y"":-7.216579},{""x"":-35.884911,""y"":-7.216648},{""x"":-35.884369,""y"":-7.217178},{""x"":-35.884186,""y"":-7.217379},{""x"":-35.88399,""y"":-7.217602},{""x"":-35.883288,""y"":-7.218315},{""x"":-35.882775,""y"":-7.218858}]",1549969693946,1,"[{""fromNode"":232839094,""ID"":281070241,""toNode"":159783983,""isForward"":false},{""fromNode"":159783983,""ID"":236360100,""toNode"":203444008,""isForward"":false},{""fromNode"":203444008,""ID"":236360099,""toNode"":159784029,""isForward"":false},{""fromNode"":159784029,""ID"":156549193,""toNode"":159784032,""isForward"":false},{""fromNode"":159784032,""ID"":156549222,""toNode"":159784071,""isForward"":false},{""fromNode"":159784071,""ID"":156549271,""toNode"":159784104,""isForward"":false},{""fromNode"":159784104,""ID"":156549387,""toNode"":159784130,""isForward"":false}]",0,2.297222222222222,8.27,"R. Maciel Pinheiro","NONE","NONE",1549970051769,2079762398,,,,,,,,,
2080243138,"Campina Grande","BR",64,"R. Luxemburgo",2080243138,975,2,"[{""x"":-35.904217,""y"":-7.182443},{""x"":-35.90382,""y"":-7.182864},{""x"":-35.903249,""y"":-7.183288},{""x"":-35.902731,""y"":-7.183774},{""x"":-35.902347,""y"":-7.184222},{""x"":-35.901854,""y"":-7.184714},{""x"":-35.901607,""y"":-7.185204},{""x"":-35.901337,""y"":-7.185711},{""x"":-35.901178,""y"":-7.185913},{""x"":-35.900891,""y"":-7.186137},{""x"":-35.900458,""y"":-7.186611},{""x"":-35.900037,""y"":-7.187074},{""x"":-35.899597,""y"":-7.187678},{""x"":-35.899354,""y"":-7.188014},{""x"":-35.899097,""y"":-7.188674},{""x"":-35.89881,""y"":-7.189251}]",1549970053764,7,"[{""fromNode"":159778871,""ID"":281153670,""toNode"":159781950,""isForward"":false},{""fromNode"":159781950,""ID"":156546136,""toNode"":159781982,""isForward"":false},{""fromNode"":159781982,""ID"":156546202,""toNode"":159782008,""isForward"":false},{""fromNode"":159782008,""ID"":156546287,""toNode"":159782244,""isForward"":false},{""fromNode"":159782244,""ID"":156546360,""toNode"":159782268,""isForward"":false},{""fromNode"":159782268,""ID"":156546438,""toNode"":159782295,""isForward"":false},{""fromNode"":159782295,""ID"":156546526,""toNode"":159782327,""isForward"":false},{""fromNode"":159782327,""ID"":244757321,""toNode"":208823519,""isForward"":false},{""fromNode"":208823519,""ID"":244757319,""toNode"":159782361,""isForward"":false},{""fromNode"":159782361,""ID"":340693155,""toNode"":235078618,""isForward"":true},{""fromNode"":235078618,""ID"":340693156,""toNode"":159782451,""isForward"":false},{""fromNode"":159782451,""ID"":156546926,""toNode"":159782486,""isForward"":false}]",0,6.158333333333333,22.17,"R. Paris","NONE","NONE",1549970053776,2080243138,,,,,,,,,
2089468297,"Campina Grande","BR",122,"R. Ladislau Rodrigues de Souza",2089468297,516,3,"[{""x"":-35.906635,""y"":-7.229991},{""x"":-35.905973,""y"":-7.229704},{""x"":-35.905684,""y"":-7.229565},{""x"":-35.905609,""y"":-7.229529},{""x"":-35.905603,""y"":-7.229526},{""x"":-35.905144,""y"":-7.22932},{""x"":-35.904856,""y"":-7.229194},{""x"":-35.903446,""y"":-7.228562},{""x"":-35.903057,""y"":-7.228397},{""x"":-35.90237,""y"":-7.228102}]",1549968439110,2,"[{""fromNode"":159781504,""ID"":237067983,""toNode"":203899447,""isForward"":true},{""fromNode"":203899447,""ID"":294178945,""toNode"":241945349,""isForward"":true},{""fromNode"":241945349,""ID"":294178946,""toNode"":159781695,""isForward"":true},{""fromNode"":159781695,""ID"":247960260,""toNode"":210844604,""isForward"":false},{""fromNode"":210844604,""ID"":247960259,""toNode"":159781972,""isForward"":false},{""fromNode"":159781972,""ID"":156545977,""toNode"":159782040,""isForward"":false},{""fromNode"":159782040,""ID"":156546080,""toNode"":159782108,""isForward"":false}]",0,3.011111111111111,10.84,"Av. Floriano Peixoto","NONE","NONE",1549970249203,2089468297,,,,,,,,,
2074798320,"Lagoa Seca","BR",109,"Estr. do Araticum",2074798320,831,3,"[{""x"":-35.852144,""y"":-7.154421},{""x"":-35.852168,""y"":-7.154694},{""x"":-35.852205,""y"":-7.154945},{""x"":-35.852287,""y"":-7.155238},{""x"":-35.852377,""y"":-7.155541},{""x"":-35.852449,""y"":-7.155711},{""x"":-35.852557,""y"":-7.155894},{""x"":-35.852731,""y"":-7.156143},{""x"":-35.852855,""y"":-7.15629},{""x"":-35.853334,""y"":-7.15673},{""x"":-35.853538,""y"":-7.156938},{""x"":-35.854232,""y"":-7.157583},{""x"":-35.855091,""y"":-7.158388},{""x"":-35.855771,""y"":-7.159002},{""x"":-35.856111,""y"":-7.15937},{""x"":-35.856293,""y"":-7.159607},{""x"":-35.85638,""y"":-7.159751},{""x"":-35.856563,""y"":-7.160239}]",1549968881008,6,"[{""fromNode"":201949676,""ID"":234027532,""toNode"":201949619,""isForward"":true},{""fromNode"":201949619,""ID"":234027458,""toNode"":201949492,""isForward"":true},{""fromNode"":201949492,""ID"":234034258,""toNode"":201954023,""isForward"":true},{""fromNode"":201954023,""ID"":234034259,""toNode"":201947321,""isForward"":true},{""fromNode"":201947321,""ID"":234024412,""toNode"":201947546,""isForward"":true},{""fromNode"":201947546,""ID"":234024413,""toNode"":201947229,""isForward"":true},{""fromNode"":201947229,""ID"":234024001,""toNode"":201947176,""isForward"":true},{""fromNode"":201947176,""ID"":234031635,""toNode"":201952382,""isForward"":true},{""fromNode"":201952382,""ID"":234031636,""toNode"":201952057,""isForward"":true},{""fromNode"":201952057,""ID"":234031086,""toNode"":201945404,""isForward"":true}]",1,3.6805555555555554,13.25,"BR-104","NONE","NONE",1549971078289,2074798320,,,,,,,,,
