"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","blockDescription","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert","startNode"
428714660,"Curitiba","BR",134,"Av. Winston Churchill",428714660,156,3,"[{""x"":-49.297274,""y"":-25.514339},{""x"":-49.295727,""y"":-25.514299}]",1550371905524,1,"[{""fromNode"":161143630,""ID"":158577775,""toNode"":161144183,""isForward"":false}]",0,0.8361111111111111,3.0100000000000002,"R. Dr. Waldemiro Pereira","NONE","NONE",1550373587165,428714660,,,,,,,,,
440095399,"Curitiba","BR",116,"R. Omar Raymundo Picheth",440095399,303,3,"[{""x"":-49.266882,""y"":-25.51321},{""x"":-49.269792,""y"":-25.513907}]",1550371906960,1,"[{""fromNode"":161151730,""ID"":158589032,""toNode"":161151407,""isForward"":true}]",0,1.9583333333333333,7.05,"R. Basílio Fuck","NONE","NONE",1550373588231,440095399,,,,,,,,,
169568177,"Curitiba","BR",-1,"BR-116 N Rod. Régis Bittencourt",169568177,508,5,"[{""x"":-49.311028,""y"":-25.565491},{""x"":-49.309502,""y"":-25.565592},{""x"":-49.309241,""y"":-25.565573},{""x"":-49.30901,""y"":-25.565507},{""x"":-49.308827,""y"":-25.565391},{""x"":-49.308664,""y"":-25.565176},{""x"":-49.308604,""y"":-25.564938},{""x"":-49.308391,""y"":-25.562909}]",1550130443232,2,"[{""fromNode"":245337188,""ID"":298063504,""toNode"":244476704,""isForward"":true}]",3,0,0,"R. Francisco Xavier de Oliveira","NONE","NONE",1550458852073,169568177,"Boqueado acesso ao viaduto",1562986740000,1547347800000,"ROAD_CLOSED_EVENT",1547347952400,523084879,"aa958eb1-4dba-349c-a647-3c2d3572b3f4",,
430889013,"Curitiba","BR",67,"R. Santo Bozzi",430889013,369,2,"[{""x"":-49.260028,""y"":-25.511508},{""x"":-49.263564,""y"":-25.512397}]",1550371907835,1,"[{""fromNode"":161153583,""ID"":277994562,""toNode"":161153053,""isForward"":false}]",0,3.0694444444444446,11.05,"R. Basílio Fuck","NONE","NONE",1550373590103,430889013,,,,,,,,,
474276547,"Curitiba","BR",118,"R. Francisco Derosso",474276547,369,3,"[{""x"":-49.263564,""y"":-25.512397},{""x"":-49.260028,""y"":-25.511508}]",1550371907887,1,"[{""fromNode"":161153053,""ID"":277994562,""toNode"":161153583,""isForward"":true}]",0,2.2416666666666667,8.07,"R. Basílio Fuck","NONE","NONE",1550373590181,474276547,,,,,,,,,
444082066,"Curitiba","BR",106,"R. Pe. Estanislau Trzebiatowski",444082066,398,2,"[{""x"":-49.236231,""y"":-25.518217},{""x"":-49.235294,""y"":-25.520055},{""x"":-49.234607,""y"":-25.521493}]",1550371908154,1,"[{""fromNode"":161160195,""ID"":277337181,""toNode"":161160383,""isForward"":false},{""fromNode"":161160383,""ID"":158602342,""toNode"":161160533,""isForward"":true}]",0,2.3027777777777776,8.29,"R. Ten. Cel. Vilagran Cabrita","NONE","NONE",1550373588803,444082066,,,,,,,,,
424632242,"Curitiba","BR",83,"R. Cleto da Silva",424632242,225,3,"[{""x"":-49.251157,""y"":-25.493464},{""x"":-49.25207,""y"":-25.491613}]",1550372004609,1,"[{""fromNode"":161156535,""ID"":158596472,""toNode"":161156309,""isForward"":false}]",0,1.863888888888889,6.71,"R. Pe. Dehon","NONE","NONE",1550372662680,424632242,,,,,,,,,
431235313,"Curitiba","BR",111,"R. Francisco Derosso",431235313,370,2,"[{""x"":-49.268145,""y"":-25.506873},{""x"":-49.267346,""y"":-25.50656},{""x"":-49.266557,""y"":-25.506267},{""x"":-49.26576,""y"":-25.505945},{""x"":-49.265157,""y"":-25.505691},{""x"":-49.264773,""y"":-25.505533}]",1550372285697,1,"[{""fromNode"":161152036,""ID"":158589758,""toNode"":161152217,""isForward"":false},{""fromNode"":161152217,""ID"":158590074,""toNode"":161152425,""isForward"":false},{""fromNode"":161152425,""ID"":158590433,""toNode"":161152664,""isForward"":false},{""fromNode"":161152664,""ID"":158590764,""toNode"":161152883,""isForward"":false},{""fromNode"":161152883,""ID"":298344651,""toNode"":244659356,""isForward"":false}]",0,2.061111111111111,7.419999999999999,"R. Cel. Luiz José dos Santos","NONE","NONE",1550372660975,431235313,,,,,,,,,
406512145,"Curitiba","BR",105,,406512145,854,2,"[{""x"":-49.332213,""y"":-25.512051},{""x"":-49.331346,""y"":-25.511649},{""x"":-49.331105,""y"":-25.511482},{""x"":-49.32875,""y"":-25.509529},{""x"":-49.328418,""y"":-25.509185},{""x"":-49.328195,""y"":-25.50889},{""x"":-49.327927,""y"":-25.508481},{""x"":-49.327752,""y"":-25.508115},{""x"":-49.327599,""y"":-25.507684},{""x"":-49.327119,""y"":-25.506234}]",1550371903183,1,"[{""fromNode"":161134109,""ID"":158564008,""toNode"":161134237,""isForward"":false}]",0,4.475,16.11,"R. Orestes Thá","NONE","NONE",1550373584887,406512145,,,,,,,,,
474274157,"Curitiba","BR",74,"R. Mário Gomes Cézar",474274157,478,2,"[{""x"":-49.293404,""y"":-25.523845},{""x"":-49.29417,""y"":-25.523274},{""x"":-49.294558,""y"":-25.522955},{""x"":-49.294843,""y"":-25.522656},{""x"":-49.295345,""y"":-25.5221},{""x"":-49.295436,""y"":-25.521981},{""x"":-49.295487,""y"":-25.521863},{""x"":-49.29551,""y"":-25.52173},{""x"":-49.295519,""y"":-25.521453},{""x"":-49.295505,""y"":-25.521022},{""x"":-49.295523,""y"":-25.520314}]",1550371905162,1,"[{""fromNode"":161144772,""ID"":234993484,""toNode"":161144638,""isForward"":false}]",0,3.9138888888888888,14.09,"Via Exclusiva Ônibus","NONE","NONE",1550373586802,474274157,,,,,,,,,
