"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","imageId","imageUrl","nearBy"
"alert-632819850/1ca46c52-ca7b-3b7a-9dbc-50b7efec8757","Campina Grande","[{""reportMillis"":1549847665968,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549847948084,""text"":""Valor do Diesel incorreto"",""isThumbsUp"":false}]",1,"BR","alert-632819850/1ca46c52-ca7b-3b7a-9dbc-50b7efec8757",false,false,"{""x"":-35.87859260644874,""y"":-7.25104110272201}",80,1,0,1,"WazeWebFeed","1550509308215",1549717299000,8,"antigerme","Use o alerta 'Preços ⛽' para relatar a variação deles ;)",1,0,2,false,0,"R. Eng. Saturnino de Brito Filho","","CHIT_CHAT","1ca46c52-ca7b-3b7a-9dbc-50b7efec8757","world,-35.87859260644874,-7.25104110272201,1ca46c52-ca7b-3b7a-9dbc-50b7efec8757,632819850",,,
"alert-622178362/ddcd3a0a-fb50-3395-b400-3be1acf96d82","Campina Grande","[{""reportBy"":""thiersonmedeiros"",""reportMillis"":1549636118155,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549663594968,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549713217513,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549749598501,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549802422915,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549811359985,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549884864148,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549898560321,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549900049292,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549913174019,""isThumbsUp"":true},{""reportBy"":""andremacedosales"",""reportMillis"":1549921322719,""isThumbsUp"":true}]",5,"BR","alert-622178362/ddcd3a0a-fb50-3395-b400-3be1acf96d82",false,false,"{""x"":-35.913239,""y"":-7.2634}",208,0,0,11,,,1549635478743,10,"kreivous",,1,2,2,false,0,"Av. Pres. Juscelino Kubitschek","HAZARD_ON_ROAD_POT_HOLE","HAZARD","ddcd3a0a-fb50-3395-b400-3be1acf96d82","world,-35.913239,-7.2634,ddcd3a0a-fb50-3395-b400-3be1acf96d82,622178362",,,
"alert-640138770/648caad8-a0f2-3393-9c7e-059e7bad58f3","Campina Grande","[{""reportBy"":"""",""reportMillis"":1549911374833,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549914706527,""isThumbsUp"":true}]",0,"BR","alert-640138770/648caad8-a0f2-3393-9c7e-059e7bad58f3",false,false,"{""x"":-35.922003,""y"":-7.244403}",73,0,0,2,,,1549904723982,8,,,49,1,,false,0,"R. das Jabuticabeiras","HAZARD_ON_ROAD_POT_HOLE","HAZARD","648caad8-a0f2-3393-9c7e-059e7bad58f3","world,-35.922003,-7.244403,648caad8-a0f2-3393-9c7e-059e7bad58f3,640138770",,,
"alert-635878943/5b1f938a-9d01-3d8d-8b67-f065879c219a","Campina Grande","[{""reportBy"":"""",""reportMillis"":1549934666121,""isThumbsUp"":true},{""reportMillis"":1549936002727,""isThumbsUp"":true}]",1,"BR","alert-635878943/5b1f938a-9d01-3d8d-8b67-f065879c219a",false,false,"{""x"":-35.910632,""y"":-7.24689}",45,0,0,2,,,1549906608400,7,,,49,1,,false,0,"R. Joaquim Ferreira Passos","HAZARD_ON_ROAD_POT_HOLE","HAZARD","5b1f938a-9d01-3d8d-8b67-f065879c219a","world,-35.910632,-7.24689,5b1f938a-9d01-3d8d-8b67-f065879c219a,635878943",,,
"alert-629840348/3af0b030-6120-3738-bfd4-9084799ee8a6","Campina Grande","[{""reportMillis"":1549719675641,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549728490769,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549754188671,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549825379364,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549880444219,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549880516808,""isThumbsUp"":false},{""reportMillis"":1549893961366,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549906481836,""isThumbsUp"":true},{""reportMillis"":1549920344091,""isThumbsUp"":true},{""reportBy"":""andremacedosales"",""reportMillis"":1549923033068,""isThumbsUp"":true}]",5,"BR","alert-629840348/3af0b030-6120-3738-bfd4-9084799ee8a6",false,false,"{""x"":-35.903335,""y"":-7.251161}",97,1,0,9,,,1549641918637,10,"kreivous",,1,2,,false,0,"R. Absalão Emerenciano","HAZARD_ON_ROAD_POT_HOLE","HAZARD","3af0b030-6120-3738-bfd4-9084799ee8a6","world,-35.903335,-7.251161,3af0b030-6120-3738-bfd4-9084799ee8a6,629840348",,,
"alert-635607433/5b87b0b3-a017-3b3c-8fbc-059c06b9fb4b","Campina Grande","[{""reportMillis"":1549969245981,""isThumbsUp"":true}]",0,"BR","alert-635607433/5b87b0b3-a017-3b3c-8fbc-059c06b9fb4b",false,false,"{""x"":-35.874863,""y"":-7.235527}",321,0,0,1,,,1549966668958,6,,,46,0,1,false,0,"R. Eduardo de Oliveira Lobo","HAZARD_ON_ROAD_POT_HOLE","HAZARD","5b87b0b3-a017-3b3c-8fbc-059c06b9fb4b","world,-35.874863,-7.235527,5b87b0b3-a017-3b3c-8fbc-059c06b9fb4b,635607433",,,
"alert-647467926/546a6d83-c612-322c-941f-6835ab46c98f","Campina Grande","[]",0,"BR","alert-647467926/546a6d83-c612-322c-941f-6835ab46c98f",false,false,"{""x"":-35.9098,""y"":-7.219342}",282,0,1,0,,,1549966960202,6,"BravoBraz",,50,3,1,false,0,"R. Maria de Lourdes Crispim Lima","HAZARD_ON_ROAD_POT_HOLE","HAZARD","546a6d83-c612-322c-941f-6835ab46c98f","world,-35.9098,-7.219342,546a6d83-c612-322c-941f-6835ab46c98f,647467926","8f9199c1-a2b5-4276-bd27-d1762b1d47eb","https://s3.amazonaws.com/waze.photos/8f9199c1-a2b5-4276-bd27-d1762b1d47eb",
"alert-635848043/23191302-b918-32fb-b862-fd8bb8674943","Campina Grande","[]",0,"BR","alert-635848043/23191302-b918-32fb-b862-fd8bb8674943",false,false,"{""x"":-35.889418,""y"":-7.228999}",354,0,0,0,,,1549968890161,5,,,8,0,2,false,0,"Av. Jornalista Assis Chateaubriand","","JAM","23191302-b918-32fb-b862-fd8bb8674943","world,-35.889418,-7.228999,23191302-b918-32fb-b862-fd8bb8674943,635848043",,,
"alert-638288561/d52fe8dc-ae16-337a-9eb0-75959d61eb6c","Campina Grande","[]",0,"BR","alert-638288561/d52fe8dc-ae16-337a-9eb0-75959d61eb6c",false,false,"{""x"":-35.884734,""y"":-7.226145}",198,0,0,0,,,1549968934810,5,"MWAF2",,8,3,2,false,0,"R. Miguel Couto","JAM_HEAVY_TRAFFIC","JAM","d52fe8dc-ae16-337a-9eb0-75959d61eb6c","world,-35.884734,-7.226145,d52fe8dc-ae16-337a-9eb0-75959d61eb6c,638288561",,,
"alert-635188573/8856707d-918a-34c7-bbd2-628c870e3406","Campina Grande","[]",0,"BR","alert-635188573/8856707d-918a-34c7-bbd2-628c870e3406",false,false,"{""x"":-35.889145,""y"":-7.228212}",255,0,0,0,,,1549968991785,5,"MWAF2",,8,3,2,false,0,"Av. Prof. Almeida Barreto","JAM_HEAVY_TRAFFIC","JAM","8856707d-918a-34c7-bbd2-628c870e3406","world,-35.889145,-7.228212,8856707d-918a-34c7-bbd2-628c870e3406,635188573",,,
