"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","showFacebookPic","speed","street","subtype","type","uuid","wazeData","roadType","reportBy","reportDescription","nearBy","provider","providerId","imageId","imageUrl","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-734628536/5e2ce095-a0fe-36bb-bd89-5e15a21568e4","Cabo de Santo Agostinho","[{""reportBy"":"""",""reportMillis"":1551629686718,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551631542372,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551632490034,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551643596522,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551646731074,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551654482945,""isThumbsUp"":true},{""reportBy"":""juanaecarlos"",""reportMillis"":1551715848038,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551718199723,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551720906175,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551779539570,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551804980700,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551814150174,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551823684972,""isThumbsUp"":true},{""reportMillis"":1551876755848,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551916903622,""isThumbsUp"":true},{""reportMillis"":1551917225940,""isThumbsUp"":true}]",5,"BR","alert-734628536/5e2ce095-a0fe-36bb-bd89-5e15a21568e4",false,false,"{""x"":-35.021266,""y"":-8.28875}",12,0,0,16,1551581525996,10,8,2,false,0,"Av. Alm. Paulo Moreira","HAZARD_ON_ROAD_POT_HOLE","HAZARD","5e2ce095-a0fe-36bb-bd89-5e15a21568e4","world,-35.021266,-8.28875,5e2ce095-a0fe-36bb-bd89-5e15a21568e4,734628536",,,,,,,,,,
"alert-743630109/89b3254d-f00c-3c61-8114-63aff15c5105","Cabo de Santo Agostinho","[]",0,"BR","alert-743630109/89b3254d-f00c-3c61-8114-63aff15c5105",false,false,"{""x"":-35.02349,""y"":-8.286205}",73,0,0,0,1551840042208,5,34,0,false,0,"R. Maria Madalena Tabosa Lopes","","POLICE","89b3254d-f00c-3c61-8114-63aff15c5105","world,-35.02349,-8.286205,89b3254d-f00c-3c61-8114-63aff15c5105,743630109",1,,,,,,,,,
"alert-743630119/f05de859-3f3f-3ed4-8172-6f94b825a4fe","Cabo de Santo Agostinho","[{""reportBy"":"""",""reportMillis"":1551840135931,""isThumbsUp"":false}]",0,"BR","alert-743630119/f05de859-3f3f-3ed4-8172-6f94b825a4fe",false,false,"{""x"":-35.02349,""y"":-8.286205}",73,1,0,0,1551840101258,6,34,0,false,0,"R. Maria Madalena Tabosa Lopes","JAM_STAND_STILL_TRAFFIC","JAM","f05de859-3f3f-3ed4-8172-6f94b825a4fe","world,-35.02349,-8.286205,f05de859-3f3f-3ed4-8172-6f94b825a4fe,743630119",1,,,,,,,,,
"alert-736570133/f31c1c7c-77d2-3c33-9213-302a330872ac","Cabo de Santo Agostinho","[]",0,"BR","alert-736570133/f31c1c7c-77d2-3c33-9213-302a330872ac",false,false,"{""x"":-35.02349,""y"":-8.286205}",253,0,0,0,1551840181015,5,34,0,false,0,"R. Maria Madalena Tabosa Lopes","","POLICE","f31c1c7c-77d2-3c33-9213-302a330872ac","world,-35.02349,-8.286205,f31c1c7c-77d2-3c33-9213-302a330872ac,736570133",1,,,,,,,,,
"alert-732136763/2cd0ca02-e7f5-3610-9e3b-223c432968ce","Jaboatão dos Guararapes","[{""reportBy"":""Tonn_Vanna"",""reportMillis"":1551730804767,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551744286873,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551794487966,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551810638397,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551815297863,""isThumbsUp"":true},{""reportMillis"":1551823847632,""isThumbsUp"":true},{""reportBy"":""fernandoantduda"",""reportMillis"":1551826635267,""isThumbsUp"":true},{""reportBy"":""fabiocalabria"",""reportMillis"":1551889231420,""isThumbsUp"":true}]",3,"BR","alert-732136763/2cd0ca02-e7f5-3610-9e3b-223c432968ce",false,false,"{""x"":-35.023068,""y"":-8.090242}",303,0,0,8,1551713550082,10,1,2,false,0,,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","2cd0ca02-e7f5-3610-9e3b-223c432968ce","world,-35.023068,-8.090242,2cd0ca02-e7f5-3610-9e3b-223c432968ce,732136763",,,,,,,,,,
"alert-747295345/e0b3d64e-42c3-3d03-b68a-eec4b02db05e","Jaboatão dos Guararapes","[{""reportBy"":""Tonn_Vanna"",""reportMillis"":1551731052156,""isThumbsUp"":true},{""reportMillis"":1551739559907,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551786561434,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551794726091,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551802474477,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551815551394,""isThumbsUp"":true},{""reportBy"":""Maxmullerdrummer"",""reportMillis"":1551820089312,""isThumbsUp"":true},{""reportMillis"":1551822877854,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551825936256,""isThumbsUp"":true},{""reportBy"":""fernandoantduda"",""reportMillis"":1551826921198,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551827880176,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551850104463,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551859219925,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551889808402,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551893105232,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551895856519,""isThumbsUp"":true},{""reportBy"":""AdrianoSilvaSpeedy16"",""reportMillis"":1551904000088,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914922162,""isThumbsUp"":true}]",5,"BR","alert-747295345/e0b3d64e-42c3-3d03-b68a-eec4b02db05e",false,false,"{""x"":-35.017916,""y"":-8.106817}",172,0,0,18,1551730670767,10,1,1,false,0,"Est. da Luz","HAZARD_ON_ROAD_POT_HOLE","HAZARD","e0b3d64e-42c3-3d03-b68a-eec4b02db05e","world,-35.017916,-8.106817,e0b3d64e-42c3-3d03-b68a-eec4b02db05e,747295345",,,,,,,,,,
"alert-748179046/f4e0a8bc-aedc-3b6f-8f51-79e19f83d6f0","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1551822032204,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551851054300,""isThumbsUp"":true},{""reportBy"":""manoBrown99"",""reportMillis"":1551851061369,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551887043384,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551892581926,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551893101745,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551894402946,""isThumbsUp"":true}]",3,"BR","alert-748179046/f4e0a8bc-aedc-3b6f-8f51-79e19f83d6f0",false,false,"{""x"":-35.017822,""y"":-8.106991}",310,0,0,7,1551801420544,10,24,2,false,0,"Est. da Luz","HAZARD_ON_ROAD_POT_HOLE","HAZARD","f4e0a8bc-aedc-3b6f-8f51-79e19f83d6f0","world,-35.017822,-8.106991,f4e0a8bc-aedc-3b6f-8f51-79e19f83d6f0,748179046",2,,,,,,,,,
"alert-737226052/65cbc070-8fc2-3bc7-a6e4-1ba62a01c43a","Jaboatão dos Guararapes","[]",0,"BR","alert-737226052/65cbc070-8fc2-3bc7-a6e4-1ba62a01c43a",false,false,"{""x"":-35.020574,""y"":-8.098523}",179,0,0,0,1551826919777,6,10,1,false,0,"Est. da Luz","HAZARD_ON_ROAD_POT_HOLE","HAZARD","65cbc070-8fc2-3bc7-a6e4-1ba62a01c43a","world,-35.020574,-8.098523,65cbc070-8fc2-3bc7-a6e4-1ba62a01c43a,737226052",2,"fernandoantduda",,,,,,,,
"alert-744690368/1d1238fc-0617-31cd-9120-6c47e0884515","Moreno","[]",0,"BR","alert-744690368/1d1238fc-0617-31cd-9120-6c47e0884515",false,false,"{""x"":-35.101104,""y"":-8.118562}",78,0,0,0,1551841356867,5,10,3,false,0,"Av. Dr. Sofrônio Portela","JAM_STAND_STILL_TRAFFIC","JAM","1d1238fc-0617-31cd-9120-6c47e0884515","world,-35.101104,-8.118562,1d1238fc-0617-31cd-9120-6c47e0884515,744690368",,"EcoSportFreestyleST",,,,,,,,
"alert-739905958/6a89dff2-9334-38a4-85a2-b53ef31adc04","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1551749255720,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551753050302,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551781668264,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551783122222,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551790129640,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551790866221,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551797157687,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551797423979,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551806356451,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551814227299,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551814647315,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551815426702,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551815599564,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551819135910,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551819475577,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551829994681,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551834088235,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551839029102,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551866844951,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551871773809,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551875688364,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551884801848,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551898085084,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551898533576,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551905360093,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551906743944,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551906791329,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551908061637,""text"":""alguém sabe de polícia aí?"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551908615131,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551911632233,""isThumbsUp"":true},{""reportBy"":""titimarceneiro"",""reportMillis"":1551912742911,""isThumbsUp"":true}]",5,"BR","alert-739905958/6a89dff2-9334-38a4-85a2-b53ef31adc04",false,false,"{""x"":-34.942563,""y"":-8.224346}",100,2,0,29,1551748712066,10,49,3,false,0,"Est. de Curcurana","HAZARD_ON_ROAD_POT_HOLE","HAZARD","6a89dff2-9334-38a4-85a2-b53ef31adc04","world,-34.942563,-8.224346,6a89dff2-9334-38a4-85a2-b53ef31adc04,739905958",2,,,,,,,,,
