route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
34,1,4000753,Terminal Boa Vista,,1,,1800
34,1,4000754,Abaeté,,0,,1799
34,1,4000755,Terminal Boa Vista,,1,,1800
34,1,4000756,Abaeté,,0,,1799
34,1,4000757,Terminal Boa Vista,,1,,1800
34,1,4000758,Abaeté,,0,,1799
34,1,4000759,Terminal Boa Vista,,1,,1800
34,1,4000760,Abaeté,,0,,1799
34,1,4000761,Terminal Boa Vista,,1,,1800
34,1,4000762,Abaeté,,0,,1799
34,1,4000763,Terminal Boa Vista,,1,,1800
34,1,4000764,Abaeté,,0,,1799
34,1,4000765,Terminal Boa Vista,,1,,1800
34,1,4000766,Abaeté,,0,,1799
34,1,4000767,Terminal Boa Vista,,1,,1800
34,1,4000768,Abaeté,,0,,1799
34,1,4000769,Terminal Boa Vista,,1,,1800
34,1,4000770,Abaeté,,0,,1799
34,1,4000771,Terminal Boa Vista,,1,,1800
34,1,4000772,Abaeté,,0,,1799
34,1,4000773,Terminal Boa Vista,,1,,1800
34,1,4000774,Abaeté,,0,,1799
34,1,4000775,Terminal Boa Vista,,1,,1800
34,1,4000776,Abaeté,,0,,1799
34,1,4000777,Terminal Boa Vista,,1,,1800
34,1,4000778,Abaeté,,0,,1799
34,1,4000779,Terminal Boa Vista,,1,,1800
34,1,4000780,Abaeté,,0,,1799
34,1,4000781,Terminal Boa Vista,,1,,1800
34,1,4000782,Abaeté,,0,,1799
34,1,4000783,Terminal Boa Vista,,1,,1800
34,1,4000784,Abaeté,,0,,1799
34,1,4000785,Terminal Boa Vista,,1,,1800
34,1,4000786,Abaeté,,0,,1799
34,1,4000787,Terminal Boa Vista,,1,,1800
34,1,4000788,Abaeté,,0,,1799
34,1,4000789,Terminal Boa Vista,,1,,1800
34,1,4000790,Abaeté,,0,,1799
34,1,4000791,Terminal Boa Vista,,1,,1800
34,1,4000792,Abaeté,,0,,1799
34,1,4000793,Terminal Boa Vista,,1,,1800
34,1,4000794,Abaeté,,0,,1799
34,1,4000795,Terminal Boa Vista,,1,,1800
34,1,4000796,Abaeté,,0,,1799
34,1,4000797,Terminal Boa Vista,,1,,1800
34,1,4000798,Abaeté,,0,,1799
34,1,4000799,Terminal Boa Vista,,1,,1800
34,1,4000800,Abaeté,,0,,1799
34,1,4000801,Terminal Boa Vista,,1,,1800
34,1,4000802,Abaeté,,0,,1799
34,1,4000803,Terminal Boa Vista,,1,,1800
34,1,4000804,Abaeté,,0,,1799
34,1,4000805,Terminal Boa Vista,,1,,1800
34,1,4000806,Abaeté,,0,,1799
34,1,4000807,Terminal Boa Vista,,1,,1800
34,1,4000808,Terminal Boa Vista,,1,,1800
34,1,4000809,Abaeté,,0,,1799
34,1,4000810,Terminal Boa Vista,,1,,1800
34,1,4000811,Abaeté,,0,,1799
34,1,4000812,Terminal Boa Vista,,1,,1800
34,1,4000813,Abaeté,,0,,1799
34,1,4000814,Terminal Boa Vista,,1,,1800
34,1,4000815,Abaeté,,0,,1799
34,1,4000816,Terminal Boa Vista,,1,,1800
34,1,4000817,Abaeté,,0,,1799
34,1,4000818,Terminal Boa Vista,,1,,1800
34,1,4000819,Abaeté,,0,,1799
34,1,4000820,Terminal Boa Vista,,1,,1800
34,1,4000821,Abaeté,,0,,1799
34,1,4000822,Terminal Boa Vista,,1,,1800
34,1,4000823,Abaeté,,0,,1799
34,1,4000824,Terminal Boa Vista,,1,,1800
34,1,4000825,Abaeté,,0,,1799
34,1,4000826,Terminal Boa Vista,,1,,1800
34,1,4000827,Abaeté,,0,,1799
34,1,4000828,Terminal Boa Vista,,1,,1800
34,1,4000829,Abaeté,,0,,1799
34,1,4000830,Terminal Boa Vista,,1,,1800
34,1,4000831,Abaeté,,0,,1799
34,1,4000832,Terminal Boa Vista,,1,,1800
34,1,4000833,Abaeté,,0,,1799
34,1,4000834,Terminal Boa Vista,,1,,1800
34,1,4000835,Abaeté,,0,,1799
34,1,4000836,Terminal Boa Vista,,1,,1800
34,1,4000837,Abaeté,,0,,1799
34,1,4000838,Terminal Boa Vista,,1,,1800
34,1,4000839,Abaeté,,0,,1799
34,1,4000840,Terminal Boa Vista,,1,,1800
34,1,4000841,Abaeté,,0,,1799
34,1,4000842,Terminal Boa Vista,,1,,1800
34,1,4000843,Abaeté,,0,,1799
34,1,4000844,Terminal Boa Vista,,1,,1800
34,1,4000845,Abaeté,,0,,1799
34,1,4000846,Terminal Boa Vista,,1,,1800
34,1,4000847,Abaeté,,0,,1799
34,1,4000848,Terminal Boa Vista,,1,,1800
34,1,4000849,Abaeté,,0,,1799
