"route","hasBusBunching","trips","percTrips"
"001","FALSE",182,1
"002","FALSE",91,1
"010","FALSE",15,1
"011","FALSE",44,1
"020","FALSE",44,1
"021","FALSE",58,1
"022","FALSE",89,1
"023","FALSE",93,1
"024","FALSE",4,1
"030","FALSE",44,1
"040","FALSE",93,1
"050","FALSE",46,1
"060","FALSE",24,1
"1","FALSE",680,1
"10","FALSE",1382,0.996395097332372
"10","TRUE",5,0.00360490266762797
"11","FALSE",1205,0.9983429991715
"11","TRUE",2,0.00165700082850041
"150","FALSE",976,1
"160","FALSE",901,1
"165","FALSE",932,1
"166","FALSE",977,1
"167","FALSE",216,1
"168","FALSE",658,1
"169","FALSE",820,1
"170","FALSE",1096,0.996363636363636
"170","TRUE",4,0.00363636363636364
"171","FALSE",560,1
"175","FALSE",744,1
"176","FALSE",737,1
"180","FALSE",803,1
"181","FALSE",333,1
"182","FALSE",783,0.992395437262357
"182","TRUE",6,0.00760456273764259
"183","FALSE",594,1
"184","FALSE",602,1
"2","FALSE",684,0.985590778097983
"2","TRUE",10,0.0144092219020173
"20","FALSE",1735,0.985795454545455
"20","TRUE",25,0.0142045454545455
"203","FALSE",4462,0.931524008350731
"203","TRUE",328,0.0684759916492693
"204","FALSE",2072,0.964169381107492
"204","TRUE",77,0.0358306188925081
"205","FALSE",1732,0.988584474885845
"205","TRUE",20,0.0114155251141553
"207","FALSE",925,0.990364025695932
"207","TRUE",9,0.00963597430406852
"21","FALSE",1550,0.994865211810013
"21","TRUE",8,0.00513478818998716
"211","FALSE",1612,0.975196612220206
"211","TRUE",41,0.0248033877797943
"212","FALSE",904,1
"213","FALSE",830,1
"214","FALSE",876,1
"216","FALSE",1899,0.960060667340748
"216","TRUE",79,0.0399393326592518
"22","FALSE",2546,0.988354037267081
"22","TRUE",30,0.0116459627329193
"222","FALSE",1565,0.992390615091947
"222","TRUE",12,0.00760938490805327
"224","FALSE",974,1
"225","FALSE",153,1
"226","FALSE",1478,0.994616419919246
"226","TRUE",8,0.0053835800807537
"23","FALSE",2319,0.984295415959253
"23","TRUE",37,0.015704584040747
"231","FALSE",540,1
"232","FALSE",1528,1
"233","FALSE",2358,0.996618765849535
"233","TRUE",8,0.00338123415046492
"236","FALSE",772,1
"24","FALSE",144,1
"242","FALSE",458,1
"243","FALSE",723,1
"244","FALSE",712,1
"260","FALSE",569,1
"265","FALSE",770,1
"266","FALSE",721,1
"270","FALSE",618,0.996774193548387
"270","TRUE",2,0.0032258064516129
"271","FALSE",610,1
"272","FALSE",658,1
"274","FALSE",658,1
"280","FALSE",621,1
"285","FALSE",655,1
"30","FALSE",1274,0.914572864321608
"30","TRUE",119,0.085427135678392
"302","FALSE",293,1
"303","FALSE",3307,0.943509272467903
"303","TRUE",198,0.056490727532097
"304","FALSE",1734,0.973610331274565
"304","TRUE",47,0.0263896687254351
"305","FALSE",1365,0.99562363238512
"305","TRUE",6,0.00437636761487965
"307","FALSE",1787,0.986203090507726
"307","TRUE",25,0.0137969094922737
"311","FALSE",25,1
"321","FALSE",27,1
"322","FALSE",911,1
"323","FALSE",762,0.994778067885117
"323","TRUE",4,0.00522193211488251
"331","FALSE",13,1
"332","FALSE",1704,0.990697674418605
"332","TRUE",16,0.00930232558139535
"334","FALSE",1041,1
"335","FALSE",1274,0.990668740279938
"335","TRUE",12,0.00933125972006221
"336","FALSE",1120,1
"338","FALSE",1440,0.958083832335329
"338","TRUE",63,0.0419161676646707
"340","FALSE",97,1
"341","FALSE",870,1
"342","FALSE",1374,1
"343","FALSE",29,1
"360","FALSE",33,1
"361","FALSE",459,1
"365","FALSE",988,1
"366","FALSE",834,0.988151658767773
"366","TRUE",10,0.0118483412322275
"370","FALSE",1181,0.983347210657785
"370","TRUE",20,0.0166527893422148
"371","FALSE",1257,0.995249406175772
"371","TRUE",6,0.00475059382422803
"372","FALSE",1403,0.959644322845417
"372","TRUE",59,0.0403556771545828
"373","FALSE",556,1
"374","FALSE",998,0.99402390438247
"374","TRUE",6,0.00597609561752988
"375","FALSE",591,1
"380","FALSE",1193,0.969918699186992
"380","TRUE",37,0.0300813008130081
"385","FALSE",882,1
"386","FALSE",829,1
"387","FALSE",557,1
"393","FALSE",75,1
"40","FALSE",1725,0.911251980982567
"40","TRUE",168,0.0887480190174326
"461","FALSE",584,0.996587030716723
"461","TRUE",2,0.00341296928327645
"462","FALSE",1160,0.993150684931507
"462","TRUE",8,0.00684931506849315
"463","FALSE",920,0.997830802603037
"463","TRUE",2,0.00216919739696312
"464","FALSE",868,1
"465","FALSE",520,1
"466","FALSE",761,1
"467","FALSE",603,1
"468","FALSE",850,1
"469","FALSE",579,1
"470","FALSE",436,1
"471","FALSE",854,0.997663551401869
"471","TRUE",2,0.00233644859813084
"472","FALSE",882,0.997737556561086
"472","TRUE",2,0.00226244343891403
"474","FALSE",563,1
"475","FALSE",1014,0.998031496062992
"475","TRUE",2,0.00196850393700787
"50","FALSE",1234,0.964816262705238
"50","TRUE",45,0.0351837372947615
"500","FALSE",1929,0.998964267219058
"500","TRUE",2,0.00103573278094252
"502","FALSE",2144,0.998137802607076
"502","TRUE",4,0.00186219739292365
"503","FALSE",2273,0.982706441850411
"503","TRUE",40,0.0172935581495893
"505","FALSE",1925,0.965396188565697
"505","TRUE",69,0.0346038114343029
"506","FALSE",1773,0.987193763919822
"506","TRUE",23,0.0128062360801782
"507","FALSE",1380,0.992805755395683
"507","TRUE",10,0.00719424460431655
"508","FALSE",1251,0.998403830806065
"508","TRUE",2,0.00159616919393456
"511","FALSE",1501,0.994039735099338
"511","TRUE",9,0.00596026490066225
"512","FALSE",1318,0.992469879518072
"512","TRUE",10,0.00753012048192771
"513","FALSE",1005,0.99406528189911
"513","TRUE",6,0.00593471810089021
"515","FALSE",1611,0.985321100917431
"515","TRUE",24,0.0146788990825688
"516","FALSE",393,1
"521","FALSE",223,1
"522","FALSE",1115,1
"523","FALSE",36,1
"531","FALSE",1258,1
"532","FALSE",621,0.996789727126806
"532","TRUE",2,0.00321027287319422
"533","FALSE",597,1
"534","FALSE",1196,1
"535","FALSE",1417,0.998590556730092
"535","TRUE",2,0.00140944326990839
"536","FALSE",308,1
"540","FALSE",82,1
"542","FALSE",1974,0.985521717423864
"542","TRUE",29,0.0144782825761358
"545","FALSE",1122,0.991166077738516
"545","TRUE",10,0.0088339222614841
"547","FALSE",1155,1
"548","FALSE",1167,0.989821882951654
"548","TRUE",12,0.0101781170483461
"550","FALSE",2600,0.988593155893536
"550","TRUE",30,0.0114068441064639
"551","FALSE",37,1
"560","FALSE",552,1
"561","FALSE",1114,1
"594","FALSE",135,1
"60","FALSE",549,0.996370235934664
"60","TRUE",2,0.00362976406533575
"602","FALSE",2041,0.999021047479197
"602","TRUE",2,0.000978952520802741
"603","FALSE",2812,0.97979094076655
"603","TRUE",58,0.0202090592334495
"607","FALSE",1032,0.996138996138996
"607","TRUE",4,0.00386100386100386
"610","FALSE",129,1
"611","FALSE",948,1
"612","FALSE",789,1
"614","FALSE",353,0.988795518207283
"614","TRUE",4,0.0112044817927171
"615","FALSE",670,1
"616","FALSE",452,1
"617","FALSE",727,1
"619","FALSE",1094,0.998175182481752
"619","TRUE",2,0.00182481751824818
"621","FALSE",1313,0.987960872836719
"621","TRUE",16,0.0120391271632807
"622","FALSE",607,1
"623","FALSE",1467,1
"624","FALSE",1064,1
"625","FALSE",1298,0.990839694656489
"625","TRUE",12,0.00916030534351145
"627","FALSE",604,1
"628","FALSE",899,0.988998899889989
"628","TRUE",10,0.011001100110011
"629","FALSE",1386,0.982978723404255
"629","TRUE",24,0.0170212765957447
"630","FALSE",848,1
"631","FALSE",518,1
"632","FALSE",236,1
"633","FALSE",1312,1
"635","FALSE",606,1
"636","FALSE",1089,1
"637","FALSE",763,1
"638","FALSE",774,1
"639","FALSE",1308,0.984939759036145
"639","TRUE",20,0.0150602409638554
"640","FALSE",599,1
"641","FALSE",285,1
"642","FALSE",422,1
"643","FALSE",969,0.995889003083248
"643","TRUE",4,0.00411099691675231
"644","FALSE",423,1
"646","FALSE",880,1
"649","FALSE",862,1
"650","FALSE",1575,0.982532751091703
"650","TRUE",28,0.0174672489082969
"652","FALSE",1274,1
"653","FALSE",1102,0.994584837545126
"653","TRUE",6,0.00541516245487365
"654","FALSE",1045,1
"655","FALSE",877,0.997724687144482
"655","TRUE",2,0.00227531285551763
"656","FALSE",461,1
"657","FALSE",1020,1
"658","FALSE",1191,0.986743993371997
"658","TRUE",16,0.0132560066280033
"659","FALSE",580,1
"661","FALSE",744,1
"662","FALSE",782,1
"663","FALSE",821,1
"665","FALSE",917,0.992424242424242
"665","TRUE",7,0.00757575757575758
"666","FALSE",515,1
"668","FALSE",71,1
"670","FALSE",650,1
"671","FALSE",391,1
"673","FALSE",897,1
"674","FALSE",969,1
"680","FALSE",981,1
"681","FALSE",294,1
"683","FALSE",637,1
"684","FALSE",1472,0.994594594594595
"684","TRUE",8,0.00540540540540541
"685","FALSE",677,1
"701","FALSE",977,0.987866531850354
"701","TRUE",12,0.0121334681496461
"703","FALSE",1063,0.960252935862692
"703","TRUE",44,0.039747064137308
"711","FALSE",960,1
"712","FALSE",992,0.995983935742972
"712","TRUE",4,0.00401606425702811
"713","FALSE",32,1
"714","FALSE",528,1
"718","FALSE",710,1
"719","FALSE",466,1
"720","FALSE",109,1
"721","FALSE",338,1
"732","FALSE",55,1
"760","FALSE",880,1
"761","FALSE",676,1
"762","FALSE",562,1
"776","FALSE",137,1
"777","FALSE",1283,0.989205859676176
"777","TRUE",14,0.0107941403238242
"778","FALSE",538,1
"779","FALSE",375,1
"801","FALSE",1089,0.989100817438692
"801","TRUE",12,0.0108991825613079
"811","FALSE",1236,1
"812","FALSE",1226,1
"814","FALSE",779,1
"815","FALSE",92,1
"821","FALSE",881,1
"822","FALSE",196,1
"823","FALSE",1214,1
"825","FALSE",381,1
"826","FALSE",612,1
"827","FALSE",566,1
"828","FALSE",963,1
"829","FALSE",1647,1
"831","FALSE",73,1
"860","FALSE",1201,0.993382961124897
"860","TRUE",8,0.00661703887510339
"861","FALSE",521,1
"865","FALSE",947,0.979317476732161
"865","TRUE",20,0.0206825232678387
"870","FALSE",1312,1
"875","FALSE",671,1
"876","FALSE",1093,0.998173515981735
"876","TRUE",2,0.00182648401826484
"901","FALSE",2705,0.958540042523033
"901","TRUE",117,0.0414599574769667
"902","FALSE",601,1
"911","FALSE",925,1
"912","FALSE",678,1
"913","FALSE",865,1
"916","FALSE",585,1
"917","FALSE",884,1
"918","FALSE",788,1
"924","FALSE",1063,0.971663619744058
"924","TRUE",31,0.0283363802559415
"965","FALSE",1046,0.994296577946768
"965","TRUE",6,0.00570342205323194
"967","FALSE",793,0.994981179422836
"967","TRUE",4,0.00501882057716437
"972","FALSE",1044,0.988636363636364
"972","TRUE",12,0.0113636363636364
"Z03","FALSE",16,1
